,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,8272007,600,1,1,1,1,100,0,0.0,0.0,0.0,0,0,33.968,35.139,0.012,11.866,0,80,55,1.4,16.078,2.248,2.228,0.321,71.615,71.846,73.653,70.406,68.818,0.0,0.036,0.083,20.0,20.0,75.335,48.199,0,73.325,72.907,73.046,73.037,32.847,66.884,33.374,-10.82,52.563,83.938,71.438,71.5,71.063,71.438,0,30.828,72,70,1000,200,0.0,16.109,73.0,71.75,-0.052,74.125,74.813,72.938,75.75,0,96.5,72,70,1000,200,-0.002,0.0,76.938,76.688,0.01,74.5,74.5,73.375,75.75,0,99.5,72,70,1000,200,-0.001,0.0,76.375,76.0,0.017,73.063,74.5,73.0,74.375,0,34.219,72,70,1000,200,0.0,0.0,74.938,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.149,-0.148,0.0,0.001,0.149,-0.222,0.149,0.011,0.184,0.0,0,0.034,0.035,-0.01,0.0,0.001,0.0,CCVS_FC
361,8272007,601,1,1,1,1,100,0,0.096,0.096,0.096,1,1,125.329,85.505,3.006,11.807,0,80,55,1.4,314.297,561.348,537.729,-0.58,70.97,72.058,73.443,70.512,67.534,0.023,0.231,0.102,20.638,16.0,61.957,47.611,0,73.325,72.907,73.046,72.964,32.847,66.57,33.374,-10.82,52.969,71.75,71.438,71.5,70.875,71.438,0,47.375,72,70,1000,200,0.004,46.781,73.0,71.75,-0.052,74.188,74.813,72.0,75.063,0,100.0,72,70,1000,200,0.034,205.0,76.938,76.5,0.01,74.5,74.813,72.188,75.063,0,100.0,72,70,1000,200,0.033,201.0,76.188,76.0,0.017,73.063,74.5,72.813,74.375,0,90.688,72,70,1000,200,0.007,100.5,74.938,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,1.233,0.185,-0.025,0,0.125,0.086,-0.01,0.001,0.0,0.0,CCVS_FC
362,8272007,602,1,1,1,1,100,0,5.255,5.255,5.255,1,1,185.066,103.075,0.022,11.881,0,80,55,1.4,679.0,920.864,780.675,-1.439,69.14,72.482,73.548,71.146,65.821,0.076,0.418,0.094,28.608,21.148,64.566,49.236,0,73.218,72.907,73.046,72.964,33.067,66.361,33.593,-10.82,53.156,69.875,71.438,71.563,69.813,71.125,0,52.563,72,70,1000,200,0.023,98.813,73.0,71.75,-0.052,74.188,74.688,70.438,73.5,0,100.0,72,70,1000,200,0.061,278.5,76.875,76.5,0.01,74.313,74.625,70.625,73.875,0,100.0,72,70,1000,200,0.058,270.5,76.188,75.938,0.017,73.063,74.625,72.0,73.813,0,95.75,72,70,1000,200,0.029,194.625,74.938,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,0.009,0.188,0.0,0,0.185,0.103,-0.01,0.001,0.001,0.0,CCVS_FC
363,8272007,603,1,1,1,1,100,0,11.094,11.094,11.094,1,1,284.627,124.158,0.012,11.881,0,80,55,1.4,1025.313,1220.05,1038.287,-1.44,68.279,72.801,73.653,71.78,65.607,0.156,0.634,0.116,36.418,27.926,66.949,49.46,0,73.325,72.907,73.046,72.964,32.994,65.943,33.593,-10.82,52.344,69.438,71.313,71.5,69.25,70.75,0,56.0,72,70,1000,200,0.049,140.375,73.0,71.563,-0.052,74.125,74.375,69.688,72.063,0,100.0,72,70,1000,200,0.107,366.75,76.875,76.5,0.01,74.313,74.438,69.813,72.563,0,100.0,72,70,1000,200,0.103,359.0,76.188,75.938,0.017,73.188,74.625,71.313,73.188,0,98.688,72,70,1000,200,0.058,268.0,74.813,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.148,-0.072,0.005,0.216,0.0,0,0.285,0.124,-0.011,0.001,0.001,0.0,CCVS_FC
364,8272007,604,1,1,1,1,100,0,16.846,16.846,16.846,1,1,422.84,151.098,0.012,11.837,0,80,55,1.4,1299.0,1469.797,1266.032,-2.272,68.386,73.119,73.653,72.308,66.356,0.244,0.887,0.138,43.671,34.567,66.949,49.629,0,73.325,72.907,73.046,73.037,32.994,66.048,33.447,-10.82,51.563,67.875,71.438,71.25,69.25,70.375,0,57.281,72,70,1000,200,0.077,177.25,73.188,71.75,-0.052,74.063,74.125,69.563,71.188,0,95.938,72,70,1000,200,0.161,445.75,76.875,76.5,0.008,74.125,74.0,69.563,71.563,0,92.813,72,70,1000,200,0.155,437.75,76.188,75.938,0.017,73.188,74.5,71.0,72.563,0,99.375,72,70,1000,200,0.09,332.25,74.938,74.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,0.001,-0.072,-0.148,-0.072,0.011,0.162,0.0,0,0.423,0.151,-0.011,0.0,0.001,0.0,CCVS_FC
365,8272007,605,1,1,1,1,100,0,23.333,23.333,23.333,1,1,577.452,185.066,0.022,11.866,0,80,55,1.4,1526.25,1701.605,1455.425,36.229,69.032,73.331,73.548,72.836,67.641,0.347,1.171,0.179,50.274,38.868,66.22,49.993,0,73.433,72.833,73.046,72.89,33.067,65.839,33.52,-10.82,51.563,66.375,71.313,71.25,69.438,70.25,0,56.719,72,70,1000,200,0.108,208.375,73.0,71.563,-0.052,73.938,73.75,69.75,70.75,0,86.313,72,70,1000,200,0.217,518.5,76.875,76.5,0.009,74.125,73.688,69.813,71.125,0,82.688,72,70,1000,200,0.199,492.25,76.188,76.0,0.01,73.063,74.438,70.688,72.125,0,97.438,72,70,1000,200,0.125,390.5,74.938,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.006,0.164,0.0,0,0.577,0.185,-0.011,0.0,0.0,0.0,CCVS_FC
366,8272007,606,1,1,1,1,100,0,27.497,27.497,27.497,1,1,756.662,209.663,0.022,11.777,0,80,55,1.4,1721.625,1881.387,1520.936,153.219,69.786,73.543,73.548,73.259,68.711,0.488,1.413,0.215,55.966,43.648,66.08,50.722,0,73.755,72.907,73.046,72.964,33.067,65.421,33.593,-10.828,52.75,65.75,71.313,71.125,69.938,70.375,0,54.344,72,70,1000,200,0.141,236.125,73.0,71.563,-0.052,73.813,73.5,70.188,70.75,0,75.438,72,70,1000,200,0.265,565.0,76.875,76.5,0.009,73.875,73.625,70.188,71.063,0,74.875,72,70,1000,200,0.221,516.0,76.188,76.0,0.017,73.063,74.25,70.688,71.688,0,90.625,72,70,1000,200,0.169,455.0,74.813,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,0.001,-0.072,-0.222,-0.072,0.009,0.191,0.0,0,0.757,0.21,-0.011,0.0,0.0,0.0,CCVS_FC
367,8272007,607,1,1,1,1,100,0,36.682,36.682,36.682,1,1,898.39,226.062,0.012,11.777,0,80,55,1.4,1847.25,1967.462,1570.813,263.997,70.647,73.543,73.548,73.47,69.675,0.633,1.661,0.27,60.609,47.466,65.183,51.563,0,73.647,72.833,73.046,73.037,33.14,65.317,33.593,-10.82,53.5,64.688,71.313,71.125,70.438,70.563,0,51.813,72,70,1000,200,0.165,255.25,73.0,71.563,-0.052,73.625,73.188,70.438,70.813,0,67.25,72,70,1000,200,0.289,588.5,76.875,76.5,0.009,73.688,73.313,70.5,71.125,0,67.5,72,70,1000,200,0.225,520.0,76.188,75.938,0.017,73.0,74.125,70.813,71.688,0,82.813,72,70,1000,200,0.211,506.0,74.813,74.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.297,-0.222,-0.148,-0.072,-0.072,-0.222,-0.072,0.011,0.166,0.0,0,0.898,0.226,-0.011,0.0,0.001,0.0,CCVS_FC
368,8272007,608,1,1,1,1,100,0,40.0,40.0,40.0,1,1,983.895,247.145,0.012,11.792,0,80,55,1.4,1900.25,2019.09,1621.02,396.494,71.185,73.437,73.232,73.259,70.424,0.796,1.877,0.311,64.223,50.709,64.762,52.263,0,73.54,72.907,73.152,72.964,33.14,65.317,33.666,-10.82,54.563,64.25,71.313,71.125,70.938,70.813,0,48.969,72,70,1000,200,0.18,265.75,72.875,71.563,-0.052,73.563,73.188,71.0,71.063,0,60.531,72,70,1000,200,0.288,587.0,76.875,76.5,0.009,73.625,73.313,71.0,71.5,0,63.094,72,70,1000,200,0.226,519.5,76.188,75.938,0.017,73.0,74.063,71.0,71.688,0,75.313,72,70,1000,200,0.236,533.0,74.813,74.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.003,0.193,0.0,0,0.984,0.247,-0.01,0.0,0.001,0.0,CCVS_FC
369,8272007,609,1,1,1,1,100,0,40.0,40.0,40.0,1,1,1067.057,265.886,0.012,11.911,0,80,55,1.4,1916.5,2024.098,1676.503,390.253,71.938,73.437,73.232,73.364,71.173,0.975,2.025,0.329,66.781,52.998,63.724,52.852,0,73.433,72.907,73.046,72.964,33.214,64.899,33.738,-10.82,54.875,63.313,71.313,71.25,71.25,71.125,0,46.531,72,70,1000,200,0.187,270.25,72.875,71.563,-0.052,73.563,73.188,71.563,71.5,0,55.156,72,70,1000,200,0.285,583.0,76.875,76.5,0.01,73.688,73.375,71.438,71.688,0,60.156,72,70,1000,200,0.224,515.5,76.188,76.0,0.017,72.875,73.938,71.188,71.688,0,68.5,72,70,1000,200,0.248,544.5,74.813,74.75,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,0.001,-0.072,-0.148,-0.072,0.005,0.197,0.0,0,1.067,0.266,-0.01,0.001,0.0,0.0,CCVS_FC
