,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,8212007,600,1,1,1,1,100,0.0,0,0.0,0.0,0,0,33.968,35.139,0.022,11.598,0,80,55,1.4,14.422,2.248,0.462,0.322,72.154,71.422,73.337,70.195,69.889,0.0,0.033,0.083,20.0,20.0,78.729,50.217,0,73.003,71.314,91.204,71.788,33.287,66.152,33.738,-10.828,54.469,86.688,71.938,72.063,71.875,71.938,0.0,0.0,72,70,1000,200,0.0,14.586,73.813,72.375,-0.052,74.5,76.5,73.375,76.563,0.0,97.5,72,70,1000,200,-0.002,0.0,77.875,77.5,0.01,74.563,75.625,74.188,76.188,0,99.438,72,70,1000,200,-0.001,0.0,77.063,76.688,0.017,73.5,75.438,73.688,75.063,0.0,42.844,72,70,1000,200,-0.001,0.0,75.75,75.625,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.149,-0.148,0.0,0.001,0.001,-0.148,0.001,0.001,0.159,0.0,0.0,0.034,0.035,-0.011,0.001,0.001,0,EADS_FC
361,8212007,601,1,1,1,1,100,0.0,0,0.965,0.965,1,1,125.329,83.163,3.099,11.732,0,80,55,1.4,14.422,554.632,561.827,-0.545,71.938,71.528,73.443,70.195,69.139,0.023,0.231,0.094,20.815,16.0,75.98,49.012,0,73.003,71.388,91.523,71.788,33.287,66.048,33.738,-10.82,54.781,83.313,71.938,71.875,71.875,71.938,0.0,51.094,72,70,1000,200,0.001,32.094,73.563,72.375,-0.052,74.5,76.063,72.813,76.125,0.0,100.0,72,70,1000,200,0.029,198.25,77.875,77.5,0.01,74.563,75.188,73.375,75.875,0,100.0,72,70,1000,200,0.024,179.625,77.0,76.688,0.017,73.5,75.125,73.563,75.188,0.0,61.156,72,70,1000,200,0.011,118.688,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.062,0.162,-0.182,0.0,0.125,0.083,-0.009,0.001,0.001,0,EADS_FC
362,8212007,602,1,1,1,1,100,0.0,0,4.139,4.139,1,1,189.751,105.417,0.012,11.807,0,80,55,1.4,576.406,929.577,866.837,-1.443,69.678,71.952,74.179,70.934,66.356,0.069,0.418,0.098,28.889,22.67,72.25,51.086,0,73.11,71.388,92.374,71.788,33.36,66.048,33.811,-10.82,55.625,80.063,71.938,72.063,70.688,71.938,0.0,54.969,72,70,1000,200,0.023,100.375,73.813,72.188,-0.052,74.5,75.563,70.938,74.563,0.0,100.0,72,70,1000,200,0.06,278.0,77.875,77.375,0.01,74.563,75.063,71.5,74.688,0,100.0,72,70,1000,200,0.05,253.25,77.063,76.688,0.017,73.5,74.625,72.625,74.625,0.0,84.125,72,70,1000,200,0.038,221.5,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.163,0.0,0.0,0.19,0.105,-0.012,0.001,0.001,0,EADS_FC
363,8212007,603,1,1,1,1,100,0.0,0,7.575,7.575,1,1,297.511,124.158,0.022,11.658,0,80,55,1.4,938.063,1230.729,1123.916,-1.447,67.848,72.801,74.494,71.674,64.322,0.145,0.649,0.083,36.795,25.903,76.205,51.142,0,73.11,71.388,91.736,71.788,33.433,65.63,33.884,-10.82,55.625,80.875,71.938,71.875,69.438,71.125,0.0,58.719,72,70,1000,200,0.05,143.5,73.563,72.375,-0.052,74.438,75.0,69.563,72.625,0.0,100.0,72,70,1000,200,0.105,364.75,77.875,77.375,0.01,74.5,74.875,69.813,73.25,0,100.0,72,70,1000,200,0.09,334.75,77.0,76.688,0.017,73.5,74.25,71.563,73.75,0.0,83.125,72,70,1000,200,0.076,305.5,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.148,-0.072,0.0,0.163,0.0,0.0,0.298,0.124,-0.009,0.001,0.001,0,EADS_FC
364,8212007,604,1,1,1,1,100,0.0,0,12.406,12.406,1,1,443.924,152.269,0.012,11.777,0,80,55,1.4,1223.25,1493.487,1406.197,-3.516,66.987,73.225,74.494,72.519,64.001,0.24,0.912,0.109,44.107,34.913,78.448,51.422,0,73.218,71.388,93.012,71.714,33.433,65.317,33.884,-10.82,54.625,81.5,71.938,71.75,68.625,70.375,0.0,59.906,72,70,1000,200,0.083,183.875,73.563,72.375,-0.052,74.438,74.625,68.75,71.063,0.0,98.938,72,70,1000,200,0.165,453.75,77.688,77.5,0.01,74.313,74.313,69.125,71.75,0,97.563,72,70,1000,200,0.139,414.25,77.0,76.625,0.017,73.5,74.063,70.813,72.875,0.0,81.625,72,70,1000,200,0.112,371.0,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.015,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,0.001,-0.296,-0.072,0.0,0.167,0.0,0.0,0.444,0.152,-0.009,0.0,0.001,0,EADS_FC
365,8212007,605,1,1,1,1,100,0.0,0,17.264,17.264,1,1,614.934,202.635,0.012,11.822,0,80,55,1.4,1499.0,1756.828,1625.898,1.524,66.88,73.543,74.179,73.047,64.429,0.343,1.186,0.131,50.967,40.437,79.262,52.487,0,73.218,71.241,92.799,71.714,33.36,65.421,33.884,-10.82,54.438,81.563,71.813,71.563,68.188,69.75,0.0,59.438,72,70,1000,200,0.118,217.5,73.563,72.375,-0.052,74.125,74.063,68.563,69.938,0.0,87.688,72,70,1000,200,0.229,533.0,77.688,77.375,0.01,74.125,73.938,68.75,70.938,0,87.188,72,70,1000,200,0.191,484.0,77.0,76.688,0.017,73.5,73.625,70.188,72.125,0.0,77.5,72,70,1000,200,0.147,423.75,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.0,0.193,0.0,0.0,0.615,0.203,-0.009,0.0,0.001,0,EADS_FC
366,8212007,606,1,1,1,1,100,0.0,0,23.553,23.553,1,1,791.801,219.034,0.012,11.822,0,80,55,1.4,1712.875,1916.067,1744.042,91.983,67.525,73.968,74.073,73.575,65.5,0.48,1.449,0.153,56.545,42.696,79.43,53.665,0,73.755,71.314,91.842,71.64,33.433,65.003,33.957,-10.82,55.188,81.438,71.75,71.563,68.188,69.313,0.0,57.0,72,70,1000,200,0.153,247.0,73.563,72.188,-0.052,73.938,73.625,68.563,69.625,0.0,77.438,72,70,1000,200,0.283,586.5,77.688,77.375,0.01,73.875,73.625,68.625,70.375,0,77.813,72,70,1000,200,0.221,516.5,77.0,76.625,0.017,73.25,73.5,70.0,71.5,0.0,73.438,72,70,1000,200,0.177,463.75,75.75,75.625,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,-0.072,-0.072,-0.296,0.001,0.0,0.196,0.0,0.0,0.792,0.219,-0.01,0.0,0.001,0,EADS_FC
367,8212007,607,1,1,1,1,100,0.0,0,27.966,27.966,1,1,940.556,247.145,0.012,11.807,0,80,55,1.4,1862.0,2029.108,1787.261,174.058,67.956,73.756,73.758,73.575,66.142,0.655,1.704,0.204,61.123,46.804,79.065,55.122,0,73.862,71.241,93.65,71.566,33.507,64.899,33.957,-10.82,56.0,81.188,71.75,71.563,68.5,69.313,0.0,53.438,72,70,1000,200,0.186,270.75,73.813,72.375,-0.052,73.625,73.188,68.625,69.563,0.0,67.5,72,70,1000,200,0.31,610.5,77.688,77.375,0.01,73.625,73.25,68.813,70.188,0,69.813,72,70,1000,200,0.239,535.5,77.0,76.625,0.017,73.188,73.375,69.875,71.063,0.0,66.5,72,70,1000,200,0.202,493.75,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.169,0.0,0.0,0.941,0.247,-0.011,0.0,0.001,0,EADS_FC
368,8212007,608,1,1,1,1,100,0.0,0,36.135,36.135,1,1,1037.775,255.344,0.022,11.747,0,80,55,1.4,1922.0,2050.845,1742.386,266.684,68.494,73.756,73.548,73.681,66.891,0.869,1.877,0.267,64.443,49.978,78.981,56.355,0,73.97,71.093,93.862,71.566,33.507,64.899,34.03,-10.82,57.625,81.125,71.5,71.5,68.75,69.25,0.0,50.094,72,70,1000,200,0.202,282.5,73.563,72.188,-0.052,73.625,73.0,69.063,69.563,0.0,59.906,72,70,1000,200,0.308,607.0,77.688,77.375,0.01,73.5,73.125,69.125,70.188,0,63.406,72,70,1000,200,0.233,527.5,77.0,76.625,0.017,73.063,73.063,69.875,70.938,0.0,61.313,72,70,1000,200,0.215,508.5,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.196,0.0,0.0,1.038,0.255,-0.01,0.0,0.001,0,EADS_FC
369,8212007,609,1,1,1,1,100,11.886,0,40.0,40.0,1,1,1070.571,264.715,0.012,11.807,0,80,55,1.4,1922.0,2010.747,1691.267,317.707,69.032,73.756,73.548,73.681,67.426,1.021,2.007,0.311,66.469,52.13,78.841,57.617,0,73.647,71.093,93.118,71.566,33.653,64.585,34.103,-10.82,58.906,81.125,71.5,71.25,69.125,69.563,0.0,47.188,72,70,1000,200,0.205,283.25,73.563,72.188,-0.052,73.563,72.938,69.25,69.625,0.0,55.5,72,70,1000,200,0.303,600.5,77.688,77.375,0.01,73.375,73.125,69.438,70.188,0,60.031,72,70,1000,200,0.222,512.5,77.0,76.625,0.017,73.063,72.875,69.875,70.813,0.0,58.219,72,70,1000,200,0.217,509.75,75.75,75.5,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,-0.072,0.0,0.172,0.0,0.738,1.071,0.265,-0.01,0.0,0.001,0,EADS_FC
