,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,8202007,600,1,1,1,1,100,0.0,100,0.0,0.0,0,0,33.968,33.968,0.012,11.583,0,80,55,1.4,13.93,2.248,0.462,-0.496,72.154,71.422,72.812,70.301,69.889,0.0,0.036,0.087,20.0,20.0,79.851,50.806,0,73.218,73.088,72.387,73.264,32.041,66.361,32.5,-10.82,54.219,86.563,71.938,72.063,71.875,71.938,0.0,0.0,72,70,1000,200,0.0,14.078,73.813,72.5,-0.056,74.75,76.688,73.438,76.875,0.0,97.375,72,70,1000,200,-0.002,0.0,77.875,77.5,0.006,74.875,75.625,74.188,76.375,0,99.188,72,70,1000,200,-0.001,0.0,77.063,76.688,0.017,73.688,75.75,73.75,75.25,0,44.813,72,70,1000,200,-0.001,0.0,76.0,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,-0.148,0.0,0.001,0.149,-0.148,0.149,-0.003,0.155,0.0,0.0,0.034,0.034,-0.011,0.0,0.001,0.0,EADS_FO
361,8202007,601,1,1,1,1,100,0.0,100,0.0,0.0,1,1,125.329,96.047,25.358,11.435,0,80,55,1.4,38.945,578.862,585.855,-1.825,72.046,71.528,73.127,70.301,69.353,0.023,0.213,0.12,20.0,20.0,77.579,49.797,0,73.325,124.82,72.387,123.828,32.041,66.048,32.5,-10.82,54.875,84.125,71.938,72.063,72.063,72.063,0.0,51.344,72,70,1000,200,0.001,28.531,73.813,72.375,-0.056,74.75,76.5,72.938,76.5,0.0,100.0,72,70,1000,200,0.028,191.5,77.875,77.5,0.006,74.813,75.5,73.625,76.188,0,100.0,72,70,1000,200,0.023,173.625,77.063,76.938,0.017,73.688,75.438,73.688,75.5,0,91.563,72,70,1000,200,0.012,128.0,76.0,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.48,0.154,3.626,0.0,0.125,0.096,-0.012,0.0,0.0,0.0,EADS_FO
362,8202007,602,1,1,1,1,100,0.0,100,0.0,0.0,1,1,142.899,89.019,25.193,11.45,0,80,55,1.4,606.875,741.18,616.195,-0.101,69.893,71.952,74.073,70.723,66.677,0.027,0.292,0.098,23.635,17.215,73.372,51.142,0,73.325,106.64,72.281,109.065,31.968,66.152,32.427,-10.82,58.188,80.875,71.938,71.875,70.875,71.938,0.0,57.688,72,70,1000,200,0.017,85.875,73.813,72.375,-0.056,74.75,75.938,71.438,74.875,0.0,100.0,72,70,1000,200,0.04,223.875,77.875,77.563,0.006,74.875,75.438,71.813,75.188,0,100.0,72,70,1000,200,0.033,203.625,77.063,76.938,0.021,73.688,75.0,72.875,74.938,0,98.563,72,70,1000,200,0.03,195.125,76.0,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.074,0.001,-0.072,-0.222,-0.072,-1.778,0.154,-8.854,0.0,0.143,0.089,-0.012,0.0,0.0,0.0,EADS_FO
363,8202007,603,1,1,1,1,100,0.0,100,5.89,5.89,1,1,224.89,107.76,0.012,11.316,0,80,55,1.4,866.813,1094.722,885.584,-0.549,68.171,72.589,74.599,71.568,64.643,0.095,0.501,0.113,31.8,23.524,78.561,51.534,0,73.218,108.931,72.387,106.26,31.895,65.734,32.355,-10.82,59.531,83.188,71.938,71.875,69.688,71.375,0.0,62.125,72,70,1000,200,0.042,133.0,73.563,72.375,-0.056,74.75,75.563,69.875,73.25,0.0,100.0,72,70,1000,200,0.076,311.25,77.875,77.5,0.006,74.813,75.188,70.313,73.875,0,100.0,72,70,1000,200,0.064,285.25,77.063,76.938,0.017,73.688,74.688,71.938,74.125,0,98.875,72,70,1000,200,0.062,278.5,76.0,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,0.001,-0.146,-0.222,-0.072,0.001,0.154,0.0,0.0,0.225,0.108,-0.01,0.0,0.0,0.0,EADS_FO
364,8202007,604,1,1,1,1,100,0.0,100,9.373,9.373,1,1,367.789,139.385,0.012,11.36,0,80,55,1.4,866.813,1366.396,1166.001,-1.849,67.203,73.119,74.809,72.308,64.108,0.187,0.735,0.127,39.668,30.955,81.113,51.703,0,73.218,108.783,72.387,106.038,31.822,65.63,32.355,-10.82,58.469,84.125,71.938,71.875,68.75,70.75,0.0,64.0,72,70,1000,200,0.075,174.375,73.563,72.375,-0.056,74.563,75.25,69.063,71.688,0.0,100.0,72,70,1000,200,0.128,400.0,77.875,77.5,0.006,74.625,74.875,69.313,72.563,0,100.0,72,70,1000,200,0.11,370.25,77.063,76.938,0.017,73.688,74.438,71.063,73.188,0,97.938,72,70,1000,200,0.098,349.0,76.0,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.222,-0.072,0.001,0.179,0.0,0.0,0.368,0.139,-0.01,0.0,0.0,0.0,EADS_FO
365,8202007,605,1,1,1,1,100,0.0,100,14.16,14.16,1,1,517.716,159.297,0.012,11.509,0,80,55,1.4,1309.75,1629.009,1363.509,-4.799,66.987,73.437,74.599,72.73,64.429,0.282,1.016,0.124,46.709,33.854,82.319,52.852,0,73.433,108.266,72.919,105.595,31.895,65.212,32.282,-10.82,58.375,84.5,71.813,71.625,68.438,69.938,0.0,63.906,72,70,1000,200,0.109,210.75,73.813,72.375,-0.056,74.438,74.375,68.75,70.563,0.0,99.25,72,70,1000,200,0.186,481.5,77.688,77.5,0.006,74.563,74.438,69.0,71.375,0,100.0,72,70,1000,200,0.16,444.75,77.063,76.688,0.017,73.688,74.125,70.563,72.313,0,93.625,72,70,1000,200,0.142,417.75,75.938,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,-0.072,-0.222,0.001,0.001,0.134,0.0,0.0,0.518,0.159,-0.012,0.0,0.001,0.0,EADS_FO
366,8202007,606,1,1,1,1,100,0.0,100,23.316,23.316,1,1,702.782,196.779,0.012,11.375,0,80,55,1.4,1586.625,1871.499,1583.737,16.198,67.31,73.543,74.389,73.259,65.286,0.374,1.283,0.16,53.108,40.67,81.954,53.973,0,73.54,108.044,73.45,105.374,31.822,64.899,32.355,-10.828,57.844,84.063,71.813,71.563,68.438,69.563,0.0,61.969,72,70,1000,200,0.146,240.375,73.563,72.188,-0.056,74.438,74.063,68.75,69.938,0.0,91.563,72,70,1000,200,0.246,548.5,77.875,77.5,0.006,74.188,74.0,68.813,70.563,0,94.0,72,70,1000,200,0.213,509.5,77.188,76.688,0.017,73.563,73.813,70.125,71.688,0,87.813,72,70,1000,200,0.184,471.75,75.938,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.072,-0.072,-0.222,-0.072,0.001,0.183,0.0,0.0,0.703,0.197,-0.011,0.0,0.001,0.0,EADS_FO
367,8202007,607,1,1,1,1,100,0.0,100,27.706,27.706,1,1,864.422,235.432,0.022,11.45,0,80,55,1.4,1861.0,2027.438,1720.898,132.548,68.171,73.756,74.179,73.575,66.356,0.473,1.553,0.197,58.631,46.615,81.393,55.514,0,74.292,107.675,73.982,105.152,31.822,65.108,32.209,-10.828,58.125,83.563,71.75,71.5,68.5,69.313,0.0,59.313,72,70,1000,200,0.175,263.5,73.563,72.375,-0.056,74.063,73.375,68.75,69.625,0.0,80.063,72,70,1000,200,0.302,608.0,77.875,77.5,0.006,74.0,73.625,68.813,70.375,0,84.0,72,70,1000,200,0.255,556.5,77.063,76.688,0.017,73.5,73.5,70.0,71.313,0,80.188,72,70,1000,200,0.216,512.0,75.938,75.625,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.015,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.296,-0.074,-0.072,-0.072,-0.222,-0.072,0.002,0.133,0.0,0.0,0.864,0.235,-0.01,0.0,0.001,0.0,EADS_FO
368,8202007,608,1,1,1,1,100,0.0,100,32.26,32.26,1,1,1054.173,265.886,0.012,11.479,0,80,55,1.4,1998.0,2155.042,1844.27,240.659,68.494,73.968,74.073,73.892,66.998,0.625,1.802,0.219,63.512,49.02,80.271,57.056,0,74.722,107.527,74.407,104.857,31.895,65.003,32.282,-10.82,58.531,82.5,71.75,71.5,68.813,69.563,0.0,55.563,72,70,1000,200,0.2,280.5,73.813,72.375,-0.056,73.938,73.188,69.188,69.75,0.0,71.688,72,70,1000,200,0.334,634.5,77.875,77.375,0.006,73.688,73.313,69.25,70.25,0,75.813,72,70,1000,200,0.278,578.0,77.063,76.688,0.017,73.25,73.375,69.875,70.938,0,72.75,72,70,1000,200,0.235,533.5,76.0,75.625,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,0.001,0.134,0.0,0.0,1.054,0.266,-0.012,0.0,0.001,0.0,EADS_FO
369,8202007,609,1,1,1,1,100,6.382,100,38.223,38.223,1,1,1167.789,305.71,0.022,11.405,0,80,55,1.4,1998.0,2190.527,1948.065,365.877,69.032,74.074,73.863,73.998,67.641,0.781,2.032,0.259,67.157,53.274,80.271,58.541,0,74.936,107.305,74.832,104.488,31.895,64.585,32.282,-10.82,60.313,82.313,71.5,71.25,69.125,69.563,0.0,52.219,72,70,1000,200,0.216,290.0,73.563,72.375,-0.056,73.813,73.0,69.313,69.75,0.0,65.063,72,70,1000,200,0.344,643.0,77.875,77.5,0.006,73.5,73.25,69.563,70.25,0,69.375,72,70,1000,200,0.279,577.0,77.063,76.688,0.017,73.188,73.25,70.0,70.938,0,66.875,72,70,1000,200,0.244,541.5,75.938,75.688,-0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.015,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,0.001,-0.072,-0.222,-0.072,0.002,0.135,0.0,0.614,1.168,0.306,-0.01,0.0,0.001,0.0,EADS_FO
