,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,8262007,600,1,1,1,1,100,0.0,0.0,0.0,0,0,0,33.968,35.139,0.012,11.881,0,80,55,1.4,17.469,2.248,2.228,2.591,71.615,71.74,73.232,70.195,68.39,0.0,0.036,0.087,20.0,20.0,75.448,48.031,0,72.466,72.907,72.834,72.964,32.774,66.779,33.229,-10.82,52.281,84.125,71.438,71.563,71.063,71.563,0.0,30.578,72,70,1000,200,0.0,17.391,73.0,71.75,-0.052,73.438,74.625,72.813,75.313,0.0,97.125,72,70,1000,200,-0.002,0.0,76.75,76.25,0.007,73.5,74.25,73.25,75.25,0,99.813,72,70,1000,200,-0.001,0.0,76.0,75.75,0.017,72.313,73.938,72.875,74.0,0,35.281,72,70,1000,200,-0.001,0.0,74.688,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0.0,-0.074,0.149,0.149,-0.148,0.001,-0.009,0.159,0.0,0.0,0.034,0.035,-0.01,0.001,0.001,0,OADS_FC
361,8262007,601,1,1,1,1,100,0.0,2.586,2.586,0,1,1,126.501,89.019,3.057,11.762,0,80,55,1.4,518.031,615.475,558.618,1.949,70.97,72.058,73.337,70.618,67.105,0.035,0.249,0.098,22.015,17.409,63.36,47.947,0,72.466,72.907,73.046,72.964,32.774,66.57,33.301,-10.82,52.563,73.375,71.438,71.563,70.875,71.438,0.0,38.875,72,70,1000,200,0.004,47.156,73.188,71.75,-0.052,73.438,74.313,71.813,74.688,0.0,100.0,72,70,1000,200,0.037,217.625,76.75,76.25,0.009,73.5,74.0,72.125,74.688,0,100.0,72,70,1000,200,0.036,212.375,76.0,75.813,0.017,72.313,73.938,72.813,74.0,0,83.625,72,70,1000,200,0.008,109.563,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.011,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,1.254,0.183,-0.026,0.0,0.127,0.089,-0.011,0.001,0.0,0,OADS_FC
362,8262007,602,1,1,1,1,100,0.0,9.926,9.926,0,1,1,200.293,107.76,3.161,11.807,0,80,55,1.4,832.625,971.885,821.461,2.805,68.817,72.27,73.232,71.04,65.178,0.092,0.44,0.105,30.155,23.913,66.304,49.825,0,72.358,72.833,72.94,72.89,32.921,66.048,33.447,-10.82,53.25,71.625,71.5,71.563,69.813,71.125,0.0,51.5,72,70,1000,200,0.024,102.063,73.188,71.75,-0.052,73.438,74.125,70.188,73.0,0.0,100.0,72,70,1000,200,0.068,297.5,76.688,76.375,0.009,73.5,73.688,70.313,73.438,0,100.0,72,70,1000,200,0.066,291.5,75.938,75.75,0.017,72.313,73.938,71.75,73.5,0,85.125,72,70,1000,200,0.032,200.625,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,1.684,0.187,-0.026,0.0,0.2,0.108,-0.011,0.0,0.0,0,OADS_FC
363,8262007,603,1,1,1,1,100,0.0,23.834,23.834,0,1,1,315.081,125.329,0.012,11.911,0,80,55,1.4,832.625,1250.608,1036.731,5.872,67.848,72.589,73.232,71.674,64.857,0.183,0.688,0.131,38.338,28.067,68.688,49.601,0,72.358,72.907,72.94,72.89,32.994,66.048,33.447,-10.82,52.438,71.188,71.438,71.563,69.0,70.75,0.0,54.625,72,70,1000,200,0.049,142.625,73.0,71.75,-0.052,73.438,73.75,69.25,71.688,0.0,98.125,72,70,1000,200,0.115,380.25,76.688,76.25,0.008,73.5,73.375,69.563,72.188,0,90.563,72,70,1000,200,0.112,372.25,76.0,75.75,0.017,72.313,73.938,71.188,72.875,0,85.25,72,70,1000,200,0.057,264.75,74.563,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,0.0,-0.072,0.001,-0.222,-0.072,-0.006,0.163,0.0,0.0,0.315,0.125,-0.01,0.001,0.001,0,OADS_FC
364,8262007,604,1,1,1,1,100,0.0,41.146,41.146,0,1,1,425.183,154.612,0.012,11.941,0,80,55,1.4,1175.5,1461.916,1200.335,3.617,67.848,72.801,73.232,72.097,65.714,0.267,0.941,0.171,44.93,35.034,69.249,50.077,0,72.358,72.833,72.94,72.89,32.921,66.048,33.447,-10.82,52.156,70.188,71.438,71.25,68.813,70.125,0.0,56.313,72,70,1000,200,0.077,175.25,73.188,71.75,-0.052,73.313,73.375,68.938,70.75,0.0,89.875,72,70,1000,200,0.164,446.75,76.688,76.25,0.009,73.313,73.25,69.25,71.125,0,80.25,72,70,1000,200,0.145,415.75,75.813,75.75,0.017,72.313,73.813,70.688,72.313,0,83.063,72,70,1000,200,0.084,319.0,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.031,0.011,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.074,0.001,-0.072,-0.222,-0.072,0.006,0.19,0.0,0.0,0.425,0.155,-0.011,0.001,0.0,0,OADS_FC
365,8262007,605,1,1,1,1,100,0.0,48.844,48.844,0,1,1,546.999,182.723,0.012,11.852,0,80,55,1.4,1376.0,1460.341,1256.633,0.197,68.279,72.801,73.022,72.519,66.677,0.271,1.312,0.226,52.083,40.723,68.464,50.722,0,72.251,72.833,72.834,72.89,32.921,65.734,33.447,-10.82,51.781,68.75,71.313,71.125,69.0,69.938,0.0,59.063,72,70,1000,200,0.091,188.375,73.0,71.75,-0.052,73.25,73.0,69.063,70.25,0.0,86.063,72,70,1000,200,0.174,452.5,76.688,76.25,0.009,73.063,73.0,69.438,70.875,0,76.625,72,70,1000,200,0.139,403.0,75.938,75.75,0.017,72.313,73.813,70.5,71.875,0,84.938,72,70,1000,200,0.089,325.5,74.438,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,0.001,-0.072,-0.148,-0.072,0.684,0.19,0.0,0.0,0.547,0.183,-0.01,0.001,0.0,0,OADS_FC
366,8262007,606,1,1,1,1,100,0.0,67.396,67.396,0,1,1,486.091,189.751,0.012,11.807,0,80,55,1.4,1248.875,855.963,1205.021,23.825,68.709,72.907,72.917,72.625,67.426,0.035,1.578,0.318,60.847,44.249,68.212,51.17,0,72.358,72.833,72.94,72.89,32.994,65.526,33.447,-10.82,51.406,68.063,71.313,71.125,69.125,69.938,0.0,72.813,72,70,1000,200,0.047,133.75,73.188,71.75,-0.052,73.25,72.813,69.313,70.25,0.0,100.0,72,70,1000,200,0.078,298.75,76.75,76.25,0.009,73.063,72.75,69.563,70.75,0,89.063,72,70,1000,200,0.072,293.25,76.0,75.75,0.017,72.313,73.625,70.5,71.563,0,100.0,72,70,1000,200,0.032,190.75,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.006,0.164,0.0,0.0,0.486,0.19,-0.011,0.001,0.001,0,OADS_FC
367,8262007,607,1,1,1,1,100,0.0,82.176,82.176,0,1,1,520.059,240.117,0.012,11.822,0,80,55,1.4,883.25,438.265,1333.562,19.284,69.032,73.013,73.022,72.942,67.641,0.0,1.924,0.406,69.755,55.804,67.875,51.366,0,72.144,72.833,73.046,72.89,33.067,65.421,33.52,-10.82,51.281,67.75,71.438,71.125,69.313,69.938,0.0,88.125,72,70,1000,200,0.021,86.0,73.0,71.75,-0.052,73.0,72.813,69.688,70.25,0.0,100.0,72,70,1000,200,0.041,215.375,76.75,76.25,0.008,73.063,72.813,69.688,70.75,0,100.0,72,70,1000,200,0.049,237.375,75.938,75.75,0.017,72.313,73.625,70.5,71.563,0,100.0,72,70,1000,200,0.006,74.563,74.688,74.313,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.148,-0.072,0.001,-0.222,0.001,0.003,0.166,0.0,0.0,0.52,0.24,-0.01,0.001,0.0,0,OADS_FC
368,8262007,608,1,1,1,1,100,9.135,98.604,98.604,0,1,1,653.587,289.312,0.012,11.777,0,80,55,1.4,528.609,235.975,1469.764,27.242,69.678,72.801,72.917,72.73,68.069,0.0,2.555,0.476,79.221,59.834,67.09,51.086,0,72.251,72.833,72.94,72.89,33.067,65.108,33.593,-10.828,51.188,69.313,71.438,71.125,69.438,69.938,0.0,100.0,72,70,1000,200,0.005,39.469,73.188,71.75,-0.052,73.0,72.938,69.75,70.375,0.0,100.0,72,70,1000,200,0.025,169.75,76.688,76.375,0.009,73.313,73.125,70.0,70.75,0,100.0,72,70,1000,200,0.038,210.5,76.0,75.813,0.017,72.313,73.625,70.813,71.875,0,100.0,72,70,1000,200,-0.011,0.0,74.688,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.031,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.006,0.193,0.0,0.861,0.654,0.289,-0.011,0.0,0.0,0,OADS_FC
369,8262007,609,1,1,1,1,100,24.396,100.0,100.0,0,1,1,800.0,379.502,0.022,11.628,0,80,55,1.4,408.766,258.113,1711.005,24.36,69.893,73.013,73.127,72.942,67.855,0.0,3.153,0.571,87.485,68.099,66.473,51.086,0,71.714,72.833,72.94,72.89,33.067,66.152,35.268,-10.82,51.688,69.875,71.438,71.25,69.438,70.125,0.0,100.0,72,70,1000,200,0.0,18.391,73.188,71.75,-0.052,73.25,73.0,70.0,70.438,0.0,100.0,72,70,1000,200,0.026,180.25,76.75,76.25,0.009,73.063,73.25,70.5,70.938,0,100.0,72,70,1000,200,0.042,228.25,75.938,75.75,0.017,72.313,73.625,71.313,72.125,0,100.0,72,70,1000,200,-0.021,0.0,74.563,74.375,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.032,0.013,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,-0.072,0.012,0.774,0.0,3.557,0.8,0.38,-0.011,0.001,0.0,0,OADS_FC
