,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,5102008,600,1,1,3,1,100,0.0,0,0.0,0.0,0,0,33.968,35.139,0.021,13.31,0,80,55,1.4,12.031,2.248,2.228,1.59,71.293,69.3,71.34,68.293,67.105,0.0,-0.01,0.028,20.0,20.0,76.85,35.447,51.368,69.888,72.241,70.922,72.668,41.493,57.481,41.823,-10.828,42.313,85.063,71.75,71.188,71.063,71.125,0.0,0,72,70,1000,200,0.0,11.992,72.813,71.688,0.014,69.813,72.063,72.125,72.063,0.0,47.438,72,70,1000,200,0.0,0.0,73.563,73.563,0.029,70.875,73.375,72.438,72.875,0.0,48.0,72,70,1000,200,-0.001,0.0,74.063,73.625,0.034,70.25,72.25,72.438,72.125,0.0,37.469,72,70,1000,200,0.0,0.0,73.375,73.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.149,-0.148,0.0,0.001,0.001,-0.148,0.001,-0.007,0.275,-0.001,0.0,0.034,0.035,0.002,0.0,0.002,0.001,EADS_FC
361,5102008,601,1,1,3,1,100,0.0,0,40.0,40.0,1,1,127.672,90.19,24.01,13.398,0,80,55,1.4,12.031,511.911,545.77,0.655,70.647,69.406,71.55,68.399,66.891,0.073,0.198,0.043,21.45,16.0,44.512,34.97,51.322,69.995,130.98,70.922,130.872,41.493,57.586,41.896,-10.82,39.531,47.531,71.5,71.25,70.688,71.125,0.0,0,72,70,1000,200,0.006,54.156,72.75,71.563,0.014,69.938,71.813,71.563,72.063,1.448,54.938,72,70,1000,200,0.024,176.75,73.563,73.563,0.029,70.688,73.25,71.75,72.938,0.0,60.188,72,70,1000,200,0.019,154.625,74.063,73.625,0.034,70.25,72.188,72.375,72.313,0.0,53.5,72,70,1000,200,0.014,132.0,73.375,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.146,-0.146,-0.222,-0.072,0.043,0.336,0.373,0.0,0.128,0.09,0.002,0.0,0.002,0.001,EADS_FC
362,5102008,602,1,1,3,1,100,0.0,0,50.031,50.031,1,1,171.01,105.417,25.691,13.485,0,80,55,1.4,527.906,702.128,643.257,15.087,69.14,69.724,71.76,68.822,66.784,0.164,0.364,0.072,29.624,21.495,44.064,36.175,51.27,69.888,118.921,70.922,116.321,41.566,57.377,41.896,-10.82,40.5,45.313,71.75,71.188,69.938,70.938,0.0,0,72,70,1000,200,0.026,104.0,72.75,71.563,0.014,69.938,71.5,70.25,71.5,1.463,49.594,72,70,1000,200,0.039,219.75,73.563,73.563,0.029,70.688,72.813,70.5,72.688,0.0,56.844,72,70,1000,200,0.031,193.125,74.063,73.75,0.034,70.313,71.938,71.438,72.188,0.0,51.156,72,70,1000,200,0.024,173.5,73.313,73.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.296,-0.074,-0.072,-0.146,-0.222,-0.146,1.392,0.281,9.645,0.0,0.171,0.105,0.002,0.0,0.002,0.001,EADS_FC
363,5102008,603,1,1,3,1,100,0.0,0,54.856,54.856,1,1,222.548,117.13,0.011,13.383,0,80,55,1.4,698.313,843.078,616.195,192.178,68.709,70.254,71.76,69.35,66.998,0.259,0.559,0.116,36.303,28.867,44.653,35.839,51.218,69.673,121.88,71.134,118.389,41.566,57.377,41.896,-10.82,40.063,44.156,71.5,71.188,69.313,70.5,0.0,0,72,70,1000,200,0.053,147.875,72.75,71.563,0.014,69.938,71.125,69.875,70.938,1.479,43.938,72,70,1000,200,0.05,247.375,73.563,73.563,0.029,70.688,72.375,70.0,72.063,0.0,53.844,72,70,1000,200,0.038,216.25,74.063,73.625,0.042,70.313,71.625,71.0,72.0,0.0,47.938,72,70,1000,200,0.034,204.625,73.375,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.223,-0.296,-0.074,-0.146,-0.072,-0.222,-0.072,0.001,0.279,0.0,0.0,0.223,0.117,0.002,0.0,0.003,0.001,EADS_FC
364,5102008,604,1,1,3,1,100,0.0,0,63.591,63.591,1,1,298.682,122.987,0.011,13.383,0,80,55,1.4,823.5,925.219,484.447,431.527,68.817,69.936,71.655,69.561,67.641,0.438,0.775,0.153,42.545,32.505,44.288,35.671,51.193,67.31,121.215,71.347,117.651,41.493,57.586,41.896,-10.82,39.594,43.0,71.5,71.188,69.125,70.125,0.0,0,72,70,1000,200,0.084,183.875,72.75,71.563,0.014,69.938,70.875,69.75,70.563,1.494,39.156,72,70,1000,200,0.055,258.25,73.563,73.563,0.029,70.688,72.188,69.938,71.688,0.0,51.219,72,70,1000,200,0.042,225.75,74.063,73.625,0.034,70.125,71.5,70.688,71.875,0.0,44.625,72,70,1000,200,0.042,223.125,73.375,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.223,-0.222,-0.074,-0.072,-0.072,-0.296,-0.072,0.001,0.335,0.0,0.0,0.299,0.123,0.002,0.0,0.002,0.001,EADS_FC
365,5102008,605,1,1,3,1,100,0.0,0,70.594,70.594,1,1,352.562,127.672,0.011,13.31,0,80,55,1.4,915.625,977.746,376.665,634.636,68.817,68.663,71.655,69.244,67.962,0.594,0.966,0.182,47.522,36.409,44.316,35.643,51.193,63.872,120.623,71.878,117.207,41.566,57.377,41.969,-10.828,40.188,42.656,71.5,71.063,69.125,69.938,0.0,0,72,70,1000,200,0.122,220.25,72.75,71.563,0.014,69.938,70.75,69.75,70.438,1.509,35.438,72,70,1000,200,0.056,258.0,73.563,73.563,0.029,70.688,72.0,69.938,71.375,0.0,49.156,72,70,1000,200,0.043,227.5,74.063,73.625,0.034,70.313,71.375,70.625,71.563,0.0,42.219,72,70,1000,200,0.043,229.25,73.313,73.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.148,-0.146,-0.072,-0.222,-0.072,0.001,0.339,0.0,0.0,0.353,0.128,0.002,0.0,0.002,0.001,EADS_FC
366,5102008,606,1,1,3,1,100,0.0,0,83.632,83.632,1,1,391.215,135.871,0.011,13.441,0,80,55,1.4,944.125,986.549,235.058,830.251,69.032,66.966,71.655,68.188,68.069,0.754,1.117,0.212,51.174,40.312,44.344,35.643,51.257,61.295,120.179,72.303,116.912,41.639,57.481,41.969,-10.82,41.531,42.75,71.5,71.063,69.125,69.875,0.0,0,72,70,1000,200,0.142,236.375,72.813,71.688,0.014,69.938,70.625,69.75,70.375,1.524,32.813,72,70,1000,200,0.053,251.25,73.563,73.563,0.029,70.688,71.938,69.813,71.125,0.0,47.594,72,70,1000,200,0.042,226.5,74.063,73.625,0.034,70.313,71.25,70.563,71.375,0.0,40.25,72,70,1000,200,0.044,230.125,73.375,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.148,-0.072,-0.072,-0.222,-0.072,0.001,0.28,0.0,0.0,0.391,0.136,0.002,0.0,0.002,0.001,EADS_FC
367,5102008,607,1,1,3,1,100,0.0,0,89.123,89.123,1,1,428.697,140.556,0.011,13.383,0,80,55,1.4,940.5,992.425,143.196,944.386,68.817,64.95,71.55,66.815,67.748,0.892,1.157,0.241,54.226,43.077,44.905,35.727,51.27,59.039,119.883,73.259,116.617,41.566,57.481,41.969,-10.82,43.813,43.531,71.438,70.938,68.813,69.563,0.0,0,72,70,1000,200,0.154,244.25,72.75,71.563,0.014,69.938,70.625,69.688,70.25,1.539,31.531,72,70,1000,200,0.048,237.5,73.563,73.438,0.029,70.688,72.0,69.688,71.063,0.0,46.938,72,70,1000,200,0.041,221.25,74.063,73.625,0.034,70.25,71.125,70.438,71.313,0.0,38.75,72,70,1000,200,0.043,226.5,73.313,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.148,-0.146,-0.072,-0.222,-0.146,0.001,0.339,0.0,0.0,0.429,0.141,0.002,0.001,0.002,0.001,EADS_FC
368,5102008,608,1,1,3,1,100,6.815,0,99.175,99.175,1,1,465.007,146.413,0.011,13.324,0,80,55,1.4,911.0,961.643,49.668,988.351,68.386,62.934,71.55,64.913,66.891,0.918,1.312,0.27,57.4,45.397,45.718,35.755,51.309,57.642,119.587,73.79,116.469,41.712,57.69,42.042,-10.82,46.813,44.844,71.313,70.938,68.625,69.25,0.0,0,72,70,1000,200,0.157,248.25,72.75,71.438,0.014,69.938,70.563,69.563,69.938,1.554,30.5,72,70,1000,200,0.044,229.125,73.563,73.563,0.029,70.688,72.0,69.438,70.875,0.0,47.094,72,70,1000,200,0.037,213.125,74.063,73.563,0.038,70.313,71.188,70.25,71.313,0.0,38.313,72,70,1000,200,0.041,220.5,73.313,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.223,-0.222,-0.148,-0.146,-0.072,-0.222,-0.072,0.001,0.275,0.0,0.61,0.465,0.146,0.003,0.0,0.003,0.001,EADS_FC
369,5102008,609,1,1,3,1,100,19.112,0,100.0,100.0,1,1,501.318,153.441,0.011,13.339,0,80,55,1.4,911.0,954.339,53.163,991.592,67.956,61.342,71.445,63.434,66.035,1.052,1.387,0.3,59.178,47.141,46.812,35.867,51.27,56.89,119.291,74.321,116.247,41.639,57.69,42.479,-10.82,49.625,46.469,71.313,70.875,68.063,68.938,0.0,0,72,70,1000,200,0.165,253.25,72.75,71.563,0.014,69.938,70.5,69.063,69.75,1.567,29.594,72,70,1000,200,0.042,221.875,73.563,73.563,0.029,70.688,72.188,69.125,70.563,0.0,46.625,72,70,1000,200,0.037,209.125,74.063,73.625,0.034,70.25,71.125,70.0,71.0,0.0,37.594,72,70,1000,200,0.039,217.0,73.375,73.063,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.297,-0.222,-0.148,-0.146,-0.146,-0.296,-0.072,0.001,0.698,0.0,1.553,0.501,0.153,0.002,0.0,0.002,0.001,EADS_FC
