,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
240,5272008,400,1,1,3,1,100,0.0,100,0.0,0.0,0,0,35.139,35.139,0.011,13.398,0,80,55,1.4,8.867,2.248,2.228,1.212,70.754,69.83,72.917,68.61,67.748,0.0,0.015,0.065,20.0,20.0,74.999,52.179,57.596,71.606,72.833,72.515,76.435,42.958,57.377,43.353,-10.82,63.719,86.938,71.5,71.0,70.875,71.125,0.0,0,72,70,1000,200,0.0,8.82,73.313,71.938,0.014,71.75,73.875,72.125,73.5,0.0,18.766,72,70,1000,200,-0.001,0.0,75.0,74.125,0.024,71.688,73.438,72.313,73.25,0.0,38.563,72,70,1000,200,-0.001,0.0,75.313,73.75,0.036,71.188,73.688,71.938,72.75,0.0,26.906,72,70,1000,200,0.0,0.0,75.0,73.813,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.149,-0.148,0.0,0.001,0.001,-0.148,0.001,-0.125,0.367,0.0,0.0,0.035,0.035,0.003,0.003,0.008,0.005,EADS_FO
241,5272008,401,1,1,3,1,100,0.0,100,40.0,40.0,1,1,118.302,86.676,23.959,13.412,0,80,55,1.4,288.047,391.685,466.601,2.453,70.754,69.936,72.707,68.61,67.319,0.076,0.188,0.083,20.146,16.0,75.588,52.235,57.57,71.606,134.161,72.515,130.798,42.958,57.272,43.353,-10.82,62.031,81.25,71.438,71.063,70.875,71.063,0.0,0,72,70,1000,200,0.002,31.672,73.313,71.938,0.014,71.75,73.75,72.125,73.5,0.0,38.656,72,70,1000,200,0.008,107.5,75.0,74.125,0.024,71.625,73.438,71.813,73.375,0.0,56.688,72,70,1000,200,0.011,125.188,75.188,73.75,0.034,71.188,73.688,71.813,72.75,0.0,47.25,72,70,1000,200,0.008,105.688,75.0,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.034,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.074,-0.146,-0.072,-0.296,-0.072,1.307,0.37,11.58,0.0,0.118,0.087,0.003,0.003,0.007,0.005,EADS_FO
242,5272008,402,1,1,3,1,100,0.0,100,47.484,47.484,1,1,144.07,101.903,5.64,13.427,0,80,55,1.4,507.375,525.212,571.447,78.057,69.248,70.361,72.601,68.927,65.286,0.153,0.339,0.098,27.207,21.164,70.231,52.852,57.557,71.392,121.141,72.515,121.639,43.031,57.377,43.353,-10.82,60.406,77.063,71.438,71.063,69.938,71.063,0.0,0,72,70,1000,200,0.011,68.813,73.313,71.938,0.014,71.75,73.375,70.813,73.0,0.0,37.844,72,70,1000,200,0.017,149.875,75.0,74.125,0.024,71.688,73.188,70.813,72.938,0.0,54.438,72,70,1000,200,0.022,168.0,75.188,73.625,0.034,71.188,73.313,71.438,72.75,0.0,46.281,72,70,1000,200,0.018,148.625,75.0,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.034,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,-0.058,0.301,0.0,0.0,0.144,0.102,0.003,0.003,0.008,0.005,EADS_FO
243,5272008,403,1,1,3,1,100,0.0,100,54.676,54.676,1,1,194.436,117.13,0.011,13.383,0,80,55,1.4,507.375,688.261,719.274,258.827,67.848,70.785,72.707,69.456,63.894,0.275,0.53,0.131,34.205,26.835,71.072,53.665,57.505,70.21,120.697,72.621,121.196,43.031,57.377,43.425,-10.82,58.656,76.188,71.438,71.0,68.813,70.563,0.0,0,72,70,1000,200,0.028,107.125,73.188,71.938,0.014,71.75,73.125,69.688,72.188,0.0,35.813,72,70,1000,200,0.027,182.0,74.813,74.125,0.024,71.688,72.938,69.813,72.375,0.0,52.5,72,70,1000,200,0.03,192.875,75.188,73.625,0.03,71.188,72.938,70.813,72.5,0.0,44.0,72,70,1000,200,0.027,183.375,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.072,-0.146,-0.222,-0.146,0.0,0.368,0.0,0.0,0.194,0.117,0.003,0.002,0.007,0.005,EADS_FO
244,5272008,404,1,1,3,1,100,0.0,100,61.988,61.988,1,1,254.173,135.871,0.011,13.398,0,80,55,1.4,658.5,794.697,905.876,434.813,66.88,70.573,72.601,69.772,63.038,0.442,0.732,0.149,40.133,31.808,71.858,53.749,57.44,67.847,120.031,72.621,120.31,43.031,57.586,43.353,-10.82,57.063,75.25,71.438,71.0,68.0,69.875,0.0,0,72,70,1000,200,0.049,140.875,73.313,72.063,0.014,71.75,72.813,68.938,71.375,0.0,33.656,72,70,1000,200,0.034,202.625,74.813,74.313,0.024,71.688,72.625,69.125,71.75,0.0,50.594,72,70,1000,200,0.035,207.375,75.188,73.625,0.034,71.188,72.563,70.25,72.125,0.0,42.125,72,70,1000,200,0.033,202.125,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-0.223,-0.37,-0.148,-0.146,-0.072,-0.222,-0.072,0.0,0.296,0.0,0.0,0.254,0.136,0.003,0.002,0.008,0.005,EADS_FO
245,5272008,405,1,1,3,1,100,0.0,100,65.746,65.746,1,1,302.196,149.927,0.011,13.412,0,80,55,1.4,758.25,847.369,985.36,582.199,66.557,69.83,72.496,69.878,63.145,0.61,0.923,0.175,45.127,35.889,71.689,53.805,57.382,65.484,119.439,73.046,119.867,43.104,57.377,43.425,-10.82,56.594,73.75,71.313,71.0,67.563,69.25,0.0,0,72,70,1000,200,0.069,166.0,73.313,71.938,0.014,71.75,72.5,68.563,70.563,0.0,31.625,72,70,1000,200,0.038,214.5,75.0,74.125,0.024,71.688,72.438,68.75,71.125,0.0,49.219,72,70,1000,200,0.038,212.75,75.188,73.75,0.036,71.125,72.313,69.875,71.563,0.0,40.531,72,70,1000,200,0.037,211.375,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.148,-0.072,-0.072,-0.222,-0.146,0.0,0.302,0.0,0.0,0.302,0.15,0.003,0.003,0.008,0.005,EADS_FO
246,5272008,406,1,1,3,1,100,0.0,100,73.582,73.582,1,1,353.734,160.469,0.011,13.427,0,80,55,1.4,807.25,857.396,1056.965,703.961,66.341,68.557,72.391,69.244,63.145,0.709,1.085,0.204,49.1,39.18,71.381,54.001,57.33,63.55,119.069,73.79,119.497,43.104,57.377,43.353,-10.82,57.125,72.5,71.313,70.875,67.313,68.688,0.0,0,72,70,1000,200,0.083,182.875,73.188,71.938,0.014,71.75,72.313,68.313,70.25,0.0,31.156,72,70,1000,200,0.037,211.25,74.813,74.125,0.024,71.688,72.313,68.5,70.75,0.0,48.5,72,70,1000,200,0.037,212.0,75.188,73.625,0.038,71.188,72.063,69.625,71.313,0.0,39.5,72,70,1000,200,0.038,214.0,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.234,0.0,0.0,0.354,0.16,0.003,0.002,0.009,0.005,EADS_FO
247,5272008,407,1,1,3,1,100,0.0,100,80.945,80.945,1,1,390.044,173.353,0.011,13.354,0,80,55,1.4,821.5,857.396,1122.358,789.151,66.449,67.284,72.181,68.399,63.466,0.819,1.178,0.226,52.407,41.083,70.876,54.141,57.291,62.369,118.773,74.427,119.128,43.104,57.586,43.425,-10.828,58.438,71.688,71.188,70.75,67.188,68.438,0.0,0,72,70,1000,200,0.089,188.375,73.313,71.938,0.014,71.75,72.0,68.125,69.75,0.0,29.797,72,70,1000,200,0.039,215.5,75.0,74.125,0.024,71.688,72.063,68.25,70.375,0.0,47.938,72,70,1000,200,0.037,210.25,75.0,73.625,0.03,71.125,71.938,69.438,71.0,0.0,38.063,72,70,1000,200,0.039,217.0,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.072,-0.146,-0.222,-0.146,0.0,0.296,0.0,0.0,0.39,0.173,0.003,0.003,0.006,0.005,EADS_FO
248,5272008,408,1,1,3,1,100,0.0,100,89.507,89.507,1,1,432.211,183.895,0.011,13.427,0,80,55,1.4,828.5,887.593,1172.24,879.971,66.449,66.011,72.076,67.448,63.466,0.937,1.222,0.252,55.133,43.414,70.567,54.309,57.239,61.402,118.551,74.852,118.906,43.031,57.481,43.425,-10.82,60.0,71.125,71.313,70.688,66.938,68.063,0.0,0,72,70,1000,200,0.1,197.5,73.313,71.938,0.014,71.75,71.875,68.063,69.313,0.0,28.688,72,70,1000,200,0.039,216.875,74.813,74.125,0.024,71.625,72.0,68.125,70.188,0.0,47.156,72,70,1000,200,0.037,212.25,75.188,73.625,0.034,71.188,71.75,69.313,70.688,0.0,37.813,72,70,1000,200,0.037,211.625,74.938,73.813,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.222,-0.148,-0.072,-0.072,-0.148,-0.072,0.0,0.366,0.0,0.0,0.432,0.184,0.003,0.002,0.008,0.004,EADS_FO
249,5272008,409,1,1,3,1,100,0.0,100,96.929,96.929,1,1,446.267,197.95,0.011,13.398,0,80,55,1.4,838.5,868.879,1217.521,913.749,66.234,64.844,71.971,66.392,63.252,1.074,1.391,0.267,57.085,45.285,70.343,54.421,57.174,60.757,118.182,75.596,118.685,43.104,57.377,43.425,-10.82,62.125,71.25,71.188,70.563,66.688,67.813,0.0,0,72,70,1000,200,0.102,200.25,73.188,71.938,0.014,71.75,71.75,67.938,69.125,0.0,28.484,72,70,1000,200,0.037,213.125,74.813,74.313,0.024,71.688,71.875,68.0,69.813,0.0,47.469,72,70,1000,200,0.035,205.625,75.0,73.75,0.034,71.125,71.625,69.0,70.5,0.0,36.938,72,70,1000,200,0.038,211.5,74.938,73.75,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.146,-0.072,-0.296,-0.072,0.0,0.301,0.0,0.0,0.446,0.198,0.003,0.002,0.006,0.005,EADS_FO
