,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,5072008,600,1,1,3,1,100,0.0,0.0,0.0,0,0,0,33.968,36.31,0.011,13.485,0,80,55,1.4,10.906,2.248,2.228,-0.438,73.122,71.634,73.022,71.463,71.494,0.0,0.004,0.036,20.0,20.0,50.094,50.946,60.169,72.251,73.055,72.834,76.583,42.958,59.257,43.425,-10.82,52.688,51.625,72.5,72.688,72.375,73.0,0,0,72,70,1000,200,0.0,10.914,74.688,73.438,0.014,73.438,75.438,73.938,75.688,0,99.313,72,70,1000,200,-0.001,0.0,77.563,77.438,0.023,73.625,75.063,74.188,76.25,0,99.75,72,70,1000,200,-0.001,0.0,77.563,77.188,0.031,73.813,76.5,73.5,76.75,0,97.438,72,70,1000,200,-0.001,0.0,77.75,77.438,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.223,0.0,0.0,0.149,0.001,-0.148,0.001,-0.176,0.386,0.0,0.0,0.034,0.036,0.003,0.0,0.002,0.001,OADS_FC
361,5072008,601,1,1,3,1,100,0.0,0.0,0.0,0,1,1,122.987,101.903,23.979,13.383,0,80,55,1.4,10.906,578.862,601.837,0.503,73.015,71.634,72.917,71.463,71.387,0.015,0.177,0.065,20.0,20.0,50.542,47.106,60.143,72.251,130.462,72.834,131.685,43.104,59.257,43.425,-10.82,52.813,52.438,72.625,72.688,72.375,73.188,0,0,72,70,1000,200,0.003,41.469,74.688,73.438,0.014,73.313,75.375,73.688,75.688,0,100.0,72,70,1000,200,0.025,181.375,77.563,77.438,0.023,73.625,75.063,73.813,76.25,0,100.0,72,70,1000,200,0.026,184.5,77.563,77.125,0.038,73.688,76.5,73.25,76.438,0,100.0,72,70,1000,200,0.02,160.125,77.75,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.148,-0.148,-0.072,-0.072,-0.222,-0.072,-0.509,0.266,-4.219,0.0,0.123,0.102,0.003,0.0,0.002,0.001,OADS_FC
362,5072008,602,1,1,3,1,100,0.0,44.58,44.58,0,1,1,144.07,93.704,25.814,13.441,0,80,55,1.4,590.563,702.128,644.846,2.382,72.476,71.74,73.337,71.463,71.066,0.038,0.271,0.043,24.198,17.628,48.13,45.144,60.052,72.251,125.875,72.94,124.52,43.031,59.153,43.425,-10.82,48.844,48.844,72.625,72.688,72.188,73.25,0,0,72,70,1000,200,0.012,73.625,74.688,73.688,0.014,73.313,75.0,72.938,75.188,0,100.0,72,70,1000,200,0.038,220.25,77.563,77.563,0.023,73.5,74.938,72.688,75.563,0,100.0,72,70,1000,200,0.04,223.625,77.563,77.188,0.034,73.813,76.125,72.813,75.75,0,100.0,72,70,1000,200,0.031,197.75,77.75,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.146,-0.072,-0.296,0.001,0.661,0.328,5.04,0.0,0.144,0.094,0.002,0.0,0.002,0.001,OADS_FC
363,5072008,603,1,1,3,1,100,0.0,57.04,57.04,0,1,1,190.922,115.959,0.011,13.427,0,80,55,1.4,736.875,811.719,775.962,0.564,72.046,72.058,73.653,71.78,70.959,0.046,0.472,0.083,32.375,25.001,48.803,44.5,60.007,72.144,129.574,72.834,128.878,43.031,59.153,43.425,-10.82,48.531,48.781,72.5,72.625,72.188,73.0,0,0,72,70,1000,200,0.023,95.688,74.688,73.438,0.014,73.313,74.688,72.625,74.438,0,100.0,72,70,1000,200,0.048,236.25,77.563,77.438,0.023,73.625,74.75,72.313,74.938,0,100.0,72,70,1000,200,0.05,242.0,77.688,77.125,0.034,73.813,75.75,72.563,75.188,0,100.0,72,70,1000,200,0.04,216.25,77.688,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.297,-0.148,-0.148,-0.072,-0.072,-0.222,-0.072,0.0,0.328,0.0,0.0,0.191,0.116,0.003,0.0,0.003,0.001,OADS_FC
364,5072008,604,1,1,3,1,100,0.0,63.738,63.738,0,1,1,254.173,131.186,0.011,13.398,0,80,55,1.4,776.75,657.902,898.073,3.722,72.046,72.27,73.653,71.991,71.066,0.023,0.75,0.12,41.165,31.023,48.747,43.967,59.981,72.251,128.834,73.152,127.918,43.031,59.257,43.425,-10.82,47.875,48.313,72.625,72.5,72.063,72.875,0,0,72,70,1000,200,0.024,99.875,74.688,73.438,0.014,73.313,74.438,72.438,74.0,0,100.0,72,70,1000,200,0.04,221.75,77.563,77.438,0.023,73.688,74.688,72.188,74.375,0,100.0,72,70,1000,200,0.039,219.125,77.563,77.188,0.033,73.813,75.375,72.438,74.563,0,100.0,72,70,1000,200,0.031,193.5,77.75,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.325,0.0,0.0,0.254,0.131,0.003,0.0,0.002,0.001,OADS_FC
365,5072008,605,1,1,3,1,100,0.0,74.828,74.828,0,1,1,290.483,152.269,0.011,13.368,0,80,55,1.4,754.438,470.966,990.031,9.593,72.046,72.482,73.863,72.097,71.066,0.0,0.991,0.157,50.569,36.375,48.86,43.547,59.994,72.036,128.169,73.896,127.253,43.031,59.153,43.425,-10.82,47.719,48.375,72.625,72.5,72.188,72.813,0,0,72,70,1000,200,0.017,80.0,74.688,73.438,0.014,73.313,74.188,72.625,73.813,0,100.0,72,70,1000,200,0.029,184.125,77.688,77.438,0.023,73.625,74.5,72.125,73.938,0,100.0,72,70,1000,200,0.024,167.625,77.563,77.188,0.034,73.875,75.188,72.438,74.375,0,100.0,72,70,1000,200,0.019,147.375,77.75,77.438,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.327,0.0,0.0,0.29,0.152,0.003,0.001,0.002,0.001,OADS_FC
366,5072008,606,1,1,3,1,100,0.0,90.16,90.16,0,1,1,372.474,197.95,0.011,13.398,0,80,55,1.4,482.469,259.348,1158.203,24.098,72.476,72.482,73.758,72.308,71.387,0.0,1.366,0.23,60.02,44.947,49.533,43.406,60.045,72.036,127.725,74.852,126.884,43.104,59.362,43.498,-10.82,48.531,49.125,72.5,72.438,72.188,72.813,0,0,72,70,1000,200,0.004,37.0,74.688,73.438,0.014,73.313,74.0,72.625,73.625,0,100.0,72,70,1000,200,0.018,141.25,77.563,77.563,0.023,73.625,74.313,72.188,73.938,0,100.0,72,70,1000,200,0.009,97.813,77.563,77.188,0.033,73.813,75.0,72.438,74.313,0,100.0,72,70,1000,200,0.006,79.313,77.75,77.438,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,0.001,0.0,0.325,0.0,0.0,0.372,0.198,0.003,0.0,0.002,0.001,OADS_FC
367,5072008,607,1,1,3,1,100,6.507,96.947,96.947,0,1,1,452.123,251.83,0.021,13.441,0,80,55,1.4,248.344,204.283,1291.123,21.478,72.476,72.482,73.863,72.413,71.28,0.0,1.812,0.315,67.694,53.919,50.318,43.462,60.032,71.929,127.355,75.596,126.588,43.104,59.362,43.425,-10.82,49.969,50.219,72.625,72.438,72.25,72.813,0,0,72,70,1000,200,0.0,0.0,74.688,73.438,0.014,73.313,74.0,72.625,73.5,0,100.0,72,70,1000,200,0.014,130.75,77.563,77.438,0.023,73.625,74.25,72.313,73.875,0,100.0,72,70,1000,200,0.003,63.031,77.563,77.188,0.036,73.813,74.813,72.438,74.313,0,100.0,72,70,1000,200,0.001,35.156,77.75,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.265,0.0,0.598,0.452,0.252,0.003,0.0,0.002,0.001,OADS_FC
368,5072008,608,1,1,3,1,100,26.314,100.0,100.0,0,1,1,580.966,309.224,0.011,13.076,0,80,55,1.4,248.344,235.975,1570.813,12.042,72.799,72.482,73.863,72.413,71.494,0.0,2.317,0.388,76.844,59.35,51.72,43.575,60.104,71.821,126.985,76.445,126.293,43.104,60.72,44.664,-10.82,51.813,52.125,72.625,72.5,72.375,72.875,0,0,72,70,1000,200,0.0,0.0,74.938,73.438,0.014,73.313,73.875,72.75,73.5,0,100.0,72,70,1000,200,0.018,149.75,77.563,77.438,0.023,73.5,74.313,72.313,73.875,0,100.0,72,70,1000,200,0.004,72.063,77.563,77.125,0.039,73.813,74.75,72.563,74.313,0,100.0,72,70,1000,200,0.0,32.656,77.688,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,0.001,-0.072,-0.148,-0.072,0.0,1.158,0.0,2.827,0.581,0.309,0.003,0.0,0.002,0.001,OADS_FC
369,5072008,609,1,1,3,1,100,46.691,100.0,100.0,0,1,1,750.805,364.275,0.011,12.623,0,80,55,1.4,257.906,265.528,1720.898,23.31,73.23,72.376,73.863,72.308,69.675,0.0,2.911,0.461,85.403,67.614,50.178,43.659,60.117,71.606,126.763,77.295,126.071,43.104,69.391,56.026,-10.82,52.094,53.375,72.625,72.438,72.375,72.875,0,0,72,70,1000,200,0.0,0.0,74.688,73.438,0.014,73.438,73.875,72.938,73.5,0,100.0,72,70,1000,200,0.024,173.5,77.563,77.438,0.023,73.375,74.375,72.313,73.875,0,100.0,72,70,1000,200,0.006,88.75,77.563,77.188,0.034,73.875,74.75,72.563,74.313,0,100.0,72,70,1000,200,0.001,43.625,77.688,77.313,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.011,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.146,-0.072,-0.222,-0.072,0.0,6.205,0.0,22.604,0.751,0.364,0.003,0.0,0.002,0.001,OADS_FC
