,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,2102008,600,1,1,0,1,100.0,0,0.0,0.0,0.0,0,0,35.139,35.139,0.011,13.441,0,80,65,1.4,37.703,2.248,23.37,18.567,71.615,68.026,76.597,68.082,69.139,0.0,-0.043,-0.027,20.0,20.0,10.324,10.866,0.518,58.717,79.343,73.471,74.219,44.789,59.153,45.173,-10.82,12.977,11.266,71.313,70.875,70.938,71.125,0.0,0.0,72,70,1000,500,0.001,19.672,72.75,71.688,0.014,57.5,71.75,64.375,60.031,100.0,32.25,72,70,1000,500,-0.002,0.0,70.938,66.75,0.033,60.281,70.688,67.813,64.813,100.0,0.0,72,70,1000,500,0.0,18.516,67.063,67.0,0.051,60.219,73.5,68.063,65.0,100.0,36.406,72,70,1000,500,0.0,0.0,67.125,67.625,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,0.01,0.359,0.0,0.0,0.035,0.035,0.002,0.02,0.0,-0.003,CCVS_FO
361,2102008,601,1,1,0,1,100.0,0,0.0,0.0,0.0,1,1,112.445,93.704,23.423,13.412,0,80,65,1.4,38.203,350.793,416.06,55.938,71.831,68.133,76.071,68.082,69.139,0.107,0.137,0.014,20.0,20.0,9.847,10.614,0.44,58.609,111.376,73.365,111.52,44.936,59.362,45.246,-10.82,11.977,10.703,71.438,70.875,70.875,71.375,0.0,19.063,72,70,1000,500,0.001,20.516,72.75,71.563,0.014,57.5,71.813,65.5,60.656,100.0,93.375,72,70,1000,500,0.008,116.688,71.563,66.813,0.458,60.281,70.688,68.125,64.813,100.0,81.875,72,70,1000,500,0.002,65.25,68.875,67.188,0.481,60.219,73.5,68.438,65.438,100.0,93.813,72,70,1000,500,0.015,143.5,67.938,67.625,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-0.074,522.0,522.0,526.5,-0.146,519.5,520.5,33.531,-0.089,0.288,-0.488,0.0,0.112,0.094,0.002,0.319,0.119,0.028,CCVS_FO
362,2102008,602,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,153.441,93.704,23.289,13.368,0,80,65,1.4,512.359,743.982,722.43,93.241,71.293,69.087,71.235,68.293,68.497,0.065,0.263,-0.016,25.325,18.722,10.099,10.922,0.44,58.609,96.876,73.471,95.122,44.936,59.362,45.246,-10.82,11.766,10.945,71.438,70.875,70.875,71.125,0.0,23.844,72,70,1000,500,0.001,25.766,72.813,71.688,0.014,57.5,71.875,67.938,64.063,100.0,96.375,72,70,1000,500,0.047,249.5,76.188,72.063,1.93,60.281,70.688,69.438,66.75,100.0,88.313,72,70,1000,500,0.029,198.0,70.875,70.688,2.047,60.219,73.438,69.563,66.875,100.0,99.875,72,70,1000,500,0.042,229.0,69.125,68.813,2.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,325.75,543.5,545.5,544.5,292.75,542.5,539.0,530.0,1.745,0.287,5.938,0.0,0.153,0.094,0.002,1.164,0.056,0.106,CCVS_FO
363,2102008,603,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,226.062,117.13,23.124,13.441,0,80,65,1.4,917.469,1057.455,1002.487,100.043,70.754,69.406,68.606,68.822,68.39,0.141,0.458,-0.001,33.041,25.61,10.155,11.651,0.44,56.783,109.452,73.79,110.708,44.936,59.257,45.246,-10.82,11.313,10.68,71.438,70.875,70.875,71.125,0.0,26.984,72,70,1000,500,0.003,38.219,72.813,71.688,0.014,57.5,71.875,69.063,68.375,100.0,97.313,72,70,1000,500,0.093,344.25,88.625,84.063,3.451,60.344,70.75,70.0,68.938,100.0,89.25,72,70,1000,500,0.077,310.5,81.813,78.25,3.461,60.219,73.438,69.813,68.063,100.0,99.938,72,70,1000,500,0.075,306.75,70.938,70.375,3.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,340.0,554.0,558.5,552.0,303.75,553.5,553.5,546.5,-0.814,0.291,-4.206,0.0,0.226,0.117,0.002,2.294,1.801,0.294,CCVS_FO
364,2102008,604,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,345.534,142.899,23.175,13.427,0,80,65,1.4,1212.156,1329.142,1230.028,95.109,70.216,69.194,67.344,69.033,68.283,0.229,0.703,0.01,40.356,31.528,10.324,12.127,0.44,53.238,114.039,73.365,113.588,44.936,59.466,45.173,-10.82,11.141,10.555,71.438,70.813,70.688,71.125,0.0,28.656,72,70,1000,500,0.007,53.75,72.75,71.688,0.014,57.719,71.875,69.313,74.188,100.0,93.188,72,70,1000,500,0.15,435.25,104.688,102.375,3.465,60.344,70.75,70.188,72.75,100.0,88.188,72,70,1000,500,0.125,393.75,108.375,98.313,3.459,60.313,73.375,69.875,69.563,100.0,98.938,72,70,1000,500,0.122,387.0,80.375,78.0,3.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,346.5,557.0,562.0,553.5,307.5,557.0,558.0,552.5,0.257,0.219,1.511,0.0,0.346,0.143,0.002,1.162,5.041,1.25,CCVS_FO
365,2102008,605,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,498.975,168.668,23.124,13.398,0,80,65,1.4,1212.156,1600.133,1468.169,163.529,70.109,68.451,67.239,68.716,68.497,0.355,0.984,0.028,47.389,35.889,10.464,12.324,0.44,49.049,114.335,73.79,113.958,44.936,59.466,45.246,-10.82,11.211,10.586,71.438,70.875,70.563,71.125,0.0,29.297,72,70,1000,500,0.011,68.375,72.813,71.563,0.014,57.719,71.875,69.688,77.25,100.0,84.5,72,70,1000,500,0.216,516.0,110.625,107.375,3.453,60.438,70.75,70.0,77.125,100.0,83.813,72,70,1000,500,0.176,463.75,108.313,103.688,3.465,60.531,73.375,69.875,72.0,100.0,94.063,72,70,1000,500,0.176,463.75,104.375,97.688,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.25,558.0,562.5,554.0,307.75,558.5,559.0,554.5,0.215,0.286,1.26,0.0,0.499,0.169,0.003,1.624,2.321,3.472,CCVS_FO
366,2102008,606,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,639.531,197.95,23.165,13.383,0,80,65,1.4,1562.313,1776.394,1588.589,243.097,69.786,68.026,67.66,68.293,68.176,0.48,1.225,0.043,52.719,40.142,10.548,12.38,0.453,44.86,117.368,74.108,117.281,44.936,59.257,45.246,-10.82,11.258,10.602,71.313,70.875,70.438,71.063,0.0,29.719,72,70,1000,500,0.015,78.75,72.75,71.563,0.014,57.813,71.938,69.563,78.5,100.0,74.875,72,70,1000,500,0.268,569.5,113.063,108.938,3.441,60.563,70.813,69.938,79.625,100.0,77.563,72,70,1000,500,0.22,518.0,111.875,107.938,3.459,60.625,73.375,69.813,75.813,100.0,85.25,72,70,1000,500,0.235,534.0,107.438,103.063,3.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.5,558.0,562.0,553.5,307.0,559.5,559.5,554.5,0.047,0.29,0.291,0.0,0.64,0.198,0.002,2.053,1.971,2.251,CCVS_FO
367,2102008,607,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,778.917,229.575,23.113,13.412,0,80,65,1.4,1745.813,1899.539,1720.898,185.735,69.786,67.814,68.291,67.977,68.069,0.652,1.459,0.091,57.329,45.313,10.632,12.296,0.505,41.208,123.064,74.852,122.599,44.936,59.257,45.319,-10.82,11.43,10.703,71.438,70.813,70.313,71.063,0.0,29.484,72,70,1000,500,0.02,88.625,72.813,71.688,0.014,58.031,71.938,69.563,79.563,100.0,66.563,72,70,1000,500,0.293,594.5,116.25,111.938,3.43,60.844,70.75,69.813,80.688,100.0,71.5,72,70,1000,500,0.25,548.5,115.688,110.313,3.461,60.719,73.313,69.625,77.938,100.0,77.5,72,70,1000,500,0.269,569.0,111.688,107.625,3.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.0,557.5,561.5,553.0,306.5,559.0,559.0,554.5,0.223,0.359,1.55,0.0,0.779,0.23,0.002,2.137,2.689,2.077,CCVS_FO
368,2102008,608,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,878.477,250.659,23.227,13.427,0,80,65,1.4,1825.125,1957.496,1803.969,202.865,69.463,67.814,68.921,67.977,67.748,0.831,1.643,0.12,60.784,48.057,10.801,12.155,0.492,37.77,126.319,75.702,126.071,44.936,59.153,45.246,-10.82,11.516,10.82,71.438,70.875,70.25,70.813,0.0,28.625,72,70,1000,500,0.024,97.938,72.75,71.563,0.014,58.125,71.938,69.313,80.688,100.0,60.031,72,70,1000,500,0.3,597.0,121.563,116.25,3.42,61.031,70.813,69.688,81.563,100.0,66.063,72,70,1000,500,0.264,563.0,118.813,112.875,3.471,61.094,73.313,69.625,79.125,100.0,70.188,72,70,1000,500,0.288,587.0,115.125,110.0,3.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.0,557.0,560.5,552.5,306.0,558.5,558.0,554.5,0.114,0.293,0.83,0.0,0.878,0.251,0.002,2.621,2.976,2.613,CCVS_FO
369,2102008,609,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,930.015,268.228,23.165,13.412,0,80,65,1.4,1851.438,1939.248,1805.643,133.581,69.355,67.92,69.657,67.765,67.641,1.01,1.809,0.142,63.109,50.295,10.829,12.071,0.531,35.3,128.243,76.658,128.287,45.083,59.257,45.319,-10.82,11.547,10.914,71.438,70.875,70.063,70.813,0.0,27.453,72,70,1000,500,0.028,104.375,72.75,71.688,0.014,58.375,72.0,69.313,81.813,100.0,54.594,72,70,1000,500,0.294,592.0,125.125,119.688,3.422,61.469,70.75,69.688,82.875,100.0,62.313,72,70,1000,500,0.264,561.5,124.125,118.0,3.457,62.594,73.375,69.563,79.875,100.0,64.375,72,70,1000,500,0.29,588.5,117.813,112.625,3.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.0,556.0,559.0,551.5,306.0,557.5,557.0,553.5,-0.02,0.223,-0.147,0.0,0.93,0.268,0.002,2.681,3.052,2.633,CCVS_FO
