,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,2022008,600,1,1,0,1,100.0,0,100,0.0,0.0,0,0,35.139,35.139,0.011,13.383,0,80,65,1.4,36.438,2.248,12.81,3.336,72.261,69.83,77.017,69.667,70.745,0.0,-0.047,-0.03,20.0,20.0,14.951,13.697,25.904,68.921,79.787,75.808,80.571,45.376,60.093,45.756,-10.82,17.766,16.078,72.0,150.625,71.75,71.75,0,16.563,72,70,1000,500,0.0,19.422,73.438,72.25,0.014,63.063,150.625,66.813,64.063,100.0,32.344,72,70,1000,500,-0.002,0.0,73.188,69.313,0.033,63.906,150.625,68.625,66.375,100.0,0.0,72,70,1000,500,0.0,17.359,68.188,68.813,0.026,63.438,150.625,67.75,65.438,100.0,36.094,72,70,1000,500,0.0,0.0,67.188,67.375,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.008,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,-0.074,-0.072,0.001,-0.222,0.001,-0.002,0.346,0.0,0,0.035,0.035,0.002,0.019,-0.002,-0.001,EADS_FO
361,2022008,601,1,1,0,1,100.0,0,100,25.0,25.0,1,1,120.644,85.505,23.618,13.398,0,80,65,1.4,36.438,310.389,494.163,0.321,72.476,70.148,75.966,69.878,70.424,0.095,0.166,-0.012,21.641,16.0,14.867,13.108,25.917,69.028,109.674,75.808,106.793,45.449,60.093,45.756,-10.828,16.906,15.867,71.938,150.625,71.75,71.75,0,22.531,72,70,1000,500,0.001,23.703,73.438,72.25,0.014,63.063,150.625,68.313,64.938,100.0,96.063,72,70,1000,500,0.006,103.188,74.0,69.5,0.609,63.906,150.625,68.813,66.563,100.0,82.25,72,70,1000,500,0.002,61.594,71.063,68.813,0.604,63.438,150.625,68.938,66.188,100.0,98.313,72,70,1000,500,0.021,167.0,70.0,67.5,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-0.074,527.0,525.0,528.5,-0.146,525.5,524.0,32.344,2.009,0.281,9.852,0,0.121,0.086,0.002,0.401,0.199,0.245,EADS_FO
362,2022008,602,1,1,0,1,100.0,0,100,25.0,25.0,1,1,190.922,107.76,23.443,13.456,0,80,65,1.4,403.375,917.962,884.023,28.312,72.046,70.891,72.181,70.089,69.996,0.111,0.382,-0.008,30.242,22.897,14.166,13.949,25.891,68.814,95.174,75.914,95.049,45.522,60.093,45.829,-10.82,15.766,14.961,71.938,150.625,71.875,71.75,0,27.109,72,70,1000,500,0.003,35.188,73.438,72.188,0.014,63.063,150.625,69.875,67.375,100.0,92.25,72,70,1000,500,0.061,285.75,79.188,74.938,2.193,63.781,150.625,70.313,68.063,100.0,83.0,72,70,1000,500,0.04,232.375,74.063,71.75,2.252,63.438,150.625,70.125,67.625,100.0,100.0,72,70,1000,500,0.062,276.0,70.938,69.375,2.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,327.25,547.5,548.5,546.5,293.75,548.0,543.5,534.0,0.152,0.284,0.426,0,0.191,0.108,0.003,1.362,0.762,0.571,EADS_FO
363,2022008,603,1,1,0,1,100.0,0,100,25.0,25.0,1,1,289.312,127.672,23.289,13.456,0,80,65,1.4,883.469,1221.574,1145.731,91.508,71.615,71.209,69.973,70.512,69.889,0.187,0.584,-0.001,37.628,27.942,14.222,14.818,25.891,67.632,109.452,75.914,110.486,45.595,59.988,45.829,-10.82,15.219,14.625,71.938,150.625,71.75,71.938,0,29.469,72,70,1000,500,0.006,51.594,73.438,72.25,0.014,63.063,150.625,70.563,70.938,100.0,88.5,72,70,1000,500,0.124,393.0,90.563,86.688,3.451,63.906,150.625,70.875,70.563,100.0,82.25,72,70,1000,500,0.093,340.5,83.188,80.75,3.375,63.594,150.625,70.563,69.125,100.0,99.938,72,70,1000,500,0.099,349.75,73.313,72.063,3.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,341.25,555.5,559.5,552.5,304.5,556.0,555.0,548.5,-0.718,0.219,-3.487,0,0.289,0.128,0.002,1.948,1.201,0.644,EADS_FO
364,2022008,604,1,1,0,1,100.0,0,100,25.0,25.0,1,1,421.669,162.811,23.268,13.427,0,80,65,1.4,1180.719,1439.89,1372.981,90.454,71.508,70.997,69.132,70.723,70.103,0.297,0.843,0.021,44.318,34.933,14.306,15.407,25.891,65.913,111.45,75.808,110.929,45.449,60.197,45.756,-10.82,15.016,14.508,71.938,150.625,71.75,71.75,0,30.813,72,70,1000,500,0.011,68.563,73.313,72.25,0.014,63.063,150.625,71.0,76.313,100.0,82.5,72,70,1000,500,0.182,473.5,104.625,102.813,3.438,64.0,150.625,71.25,73.938,100.0,80.625,72,70,1000,500,0.14,414.0,106.75,97.438,3.402,63.594,150.625,70.813,70.688,100.0,97.0,72,70,1000,500,0.15,429.0,82.5,80.563,3.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.5,557.5,561.5,553.5,307.75,558.0,558.0,553.5,0.34,0.28,1.754,0,0.422,0.163,0.002,0.903,4.591,0.997,EADS_FO
365,2022008,605,1,1,0,1,100.0,0,100,25.0,25.0,1,1,570.425,188.58,23.278,13.412,0,80,65,1.4,1441.75,1661.203,1548.249,170.68,71.723,70.679,69.342,70.618,70.424,0.419,1.074,0.039,50.496,39.146,14.39,15.715,25.865,63.658,112.115,76.021,112.037,45.449,59.988,45.683,-10.82,15.031,14.477,72.0,150.625,71.688,71.938,0,31.094,72,70,1000,500,0.018,85.063,73.438,72.25,0.014,63.156,150.625,71.063,78.438,100.0,74.938,72,70,1000,500,0.231,531.0,109.375,106.125,3.432,64.0,150.625,71.25,78.25,100.0,76.813,72,70,1000,500,0.184,472.75,106.125,102.563,3.408,63.656,150.625,70.813,73.25,100.0,89.813,72,70,1000,500,0.208,503.5,103.438,97.438,3.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348.0,557.5,562.0,553.5,308.0,558.5,558.5,554.5,0.05,0.216,0.263,0,0.57,0.189,0.002,1.615,1.76,3.059,EADS_FO
366,2022008,606,1,1,0,1,100.0,0,100,25.0,25.0,1,1,712.152,216.691,23.35,13.354,0,80,65,1.4,1638.875,1820.558,1702.773,192.1,71.508,70.361,69.763,70.512,70.21,0.564,1.341,0.054,55.973,43.654,14.447,15.687,25.865,60.543,117.442,76.339,117.355,45.522,59.988,45.829,-10.82,15.125,14.531,71.938,150.625,71.688,71.938,0,31.328,72,70,1000,500,0.023,97.125,73.438,72.25,0.014,63.25,150.625,71.188,79.75,100.0,67.688,72,70,1000,500,0.265,565.0,111.938,108.063,3.422,64.125,150.625,71.438,80.375,100.0,71.875,72,70,1000,500,0.219,514.0,111.375,107.25,3.402,63.875,150.625,71.0,76.875,100.0,81.438,72,70,1000,500,0.254,554.0,105.75,102.188,3.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348.25,557.0,561.0,553.0,307.25,558.0,558.0,554.5,0.049,0.283,0.293,0,0.712,0.217,0.002,1.919,2.031,1.803,EADS_FO
367,2022008,607,1,1,0,1,100.0,0,100,25.0,25.0,1,1,816.398,253.001,23.371,13.441,0,80,65,1.4,1772.188,1892.935,1778.926,191.118,71.508,70.361,70.393,70.406,70.103,0.732,1.571,0.091,59.88,46.731,14.559,15.575,25.826,58.287,122.99,76.977,122.452,45.595,59.988,45.829,-10.82,15.227,14.625,72.0,150.625,71.688,71.75,0,30.516,72,70,1000,500,0.03,108.938,73.438,72.25,0.014,63.813,150.625,71.438,81.0,100.0,61.281,72,70,1000,500,0.28,579.5,116.063,111.688,3.412,64.75,150.625,71.438,81.563,100.0,67.25,72,70,1000,500,0.241,537.5,114.563,109.125,3.393,64.75,150.625,71.0,78.563,100.0,74.0,72,70,1000,500,0.279,579.5,111.0,106.875,3.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348.25,556.5,560.0,552.0,306.75,557.5,557.0,554.0,0.273,0.219,1.813,0,0.816,0.253,0.002,2.157,2.668,2.079,EADS_FO
368,2022008,608,1,1,0,1,100.0,0,100,25.0,25.0,1,1,912.445,262.372,23.309,13.398,0,80,65,1.4,1832.625,1917.721,1832.486,207.599,71.615,70.361,71.024,70.406,70.21,0.911,1.73,0.116,62.673,50.014,14.643,15.435,25.8,56.461,125.949,77.72,125.776,45.595,60.093,45.829,-10.82,15.313,14.695,72.0,150.625,71.688,71.75,0,29.813,72,70,1000,500,0.033,114.25,73.438,72.25,0.014,64.563,150.625,71.438,82.25,100.0,56.094,72,70,1000,500,0.282,580.0,121.063,116.25,3.412,65.313,150.625,71.5,82.813,100.0,63.156,72,70,1000,500,0.25,548.0,118.25,112.5,3.406,66.375,150.625,71.125,79.75,100.0,67.25,72,70,1000,500,0.291,589.5,113.625,108.688,3.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348.25,555.5,558.5,551.5,306.5,556.0,556.5,553.5,0.084,0.216,0.581,0,0.912,0.262,0.002,2.37,2.828,2.486,EADS_FO
369,2022008,609,1,1,0,1,100.0,0,100,25.0,25.0,1,1,927.672,281.113,23.371,13.427,0,80,65,1.4,1822.25,1906.147,1871.301,193.617,71.615,70.573,71.655,70.512,70.21,1.055,1.848,0.135,64.615,51.692,14.671,15.267,25.813,54.957,128.169,78.676,128.213,45.595,60.093,45.829,-10.82,15.352,14.789,72.0,150.625,71.75,71.75,0,29.266,72,70,1000,500,0.035,118.0,73.313,72.25,0.014,65.0,150.625,71.563,83.688,100.0,52.375,72,70,1000,500,0.273,571.5,124.938,119.688,3.402,66.5,150.625,71.5,84.063,100.0,60.594,72,70,1000,500,0.25,545.0,123.75,117.688,3.4,67.563,150.625,71.25,81.0,100.0,62.719,72,70,1000,500,0.283,582.0,117.313,112.313,3.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,348.0,554.5,557.5,550.5,306.0,554.5,555.5,552.5,-0.021,0.217,-0.148,0,0.928,0.281,0.002,2.574,2.972,2.51,EADS_FO
