,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,2162008,600,1,1,0,1,100.0,0,0.0,0.0,0.0,0,0,35.139,35.139,0.021,13.368,0,80,65,1.4,43.5,2.248,19.853,19.315,71.185,67.92,76.176,67.871,68.925,0.0,-0.05,-0.045,20.0,20.0,9.23,9.633,8.477,60.22,81.858,75.064,78.651,44.863,59.153,45.246,-10.82,11.336,10.008,71.125,70.25,70.563,70.813,0.0,0.0,72,70,1000,500,0.001,20.75,72.313,71.25,0.014,59.875,70.75,65.0,61.875,100.0,33.125,72,70,1000,500,-0.002,0.0,70.625,66.938,0.029,61.938,70.438,68.0,65.5,100.0,0.0,72,70,1000,500,0.0,23.453,67.563,67.5,0.052,60.813,74.813,67.438,64.438,100.0,36.063,72,70,1000,500,0.0,0.0,66.188,66.125,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.074,-0.072,0.001,-0.222,0.001,0.01,0.358,0.01,0,0.035,0.035,0.002,0.016,0.0,0.0,NORMAL
361,2162008,601,1,1,0,1,100.0,0,0.0,0.0,0.0,1,1,118.302,93.704,23.825,13.441,0,80,65,1.4,218.422,372.456,482.827,19.009,71.4,67.92,75.335,67.871,68.711,0.088,0.134,-0.008,20.0,20.0,9.146,9.437,8.477,60.22,107.899,75.277,109.083,44.936,59.257,45.246,-10.82,10.75,9.82,71.125,70.188,70.563,70.813,0.0,37.219,72,70,1000,500,0.002,37.281,72.313,71.25,0.014,59.813,70.875,66.188,62.5,100.0,94.375,72,70,1000,500,0.009,120.063,71.625,67.125,0.612,61.75,70.438,68.25,65.75,100.0,81.5,72,70,1000,500,0.002,62.281,71.313,67.688,0.63,60.813,74.938,68.125,65.0,100.0,93.188,72,70,1000,500,0.02,162.0,69.25,66.5,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-0.074,524.0,523.5,526.5,-0.146,521.0,522.0,32.719,-0.865,0.291,-4.087,0,0.118,0.094,0.002,0.403,0.335,0.306,NORMAL
362,2162008,602,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,160.469,96.047,23.639,13.383,0,80,65,1.4,657.938,753.801,708.222,84.422,70.862,68.981,71.445,68.293,68.283,0.065,0.256,-0.023,26.253,20.332,8.865,9.437,8.399,60.113,114.261,75.277,112.923,45.009,59.153,45.246,-10.82,9.984,9.211,71.125,70.25,70.563,70.813,0.0,42.938,72,70,1000,500,0.011,68.875,72.313,71.063,0.014,59.813,70.813,68.125,65.563,100.0,97.375,72,70,1000,500,0.048,253.375,78.0,74.938,3.025,61.938,70.438,69.313,67.25,100.0,87.625,72,70,1000,500,0.03,199.0,74.75,72.563,3.057,60.813,75.0,69.188,66.375,100.0,100.0,72,70,1000,500,0.044,234.75,68.938,68.5,3.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.007,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,324.25,545.0,547.0,545.0,293.5,543.5,541.0,529.0,0.811,0.224,4.573,0,0.16,0.096,0.003,1.354,0.978,0.217,NORMAL
363,2162008,603,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,249.488,117.13,23.443,13.412,0,80,65,1.4,989.75,1148.782,1027.392,63.71,70.431,69.194,68.921,68.716,68.176,0.137,0.472,-0.012,34.273,25.978,8.781,9.801,8.386,58.072,109.748,75.277,109.895,45.009,59.153,45.246,-10.82,9.359,8.734,71.125,70.188,70.438,70.75,0.0,46.5,72,70,1000,500,0.025,101.688,72.313,71.063,0.014,59.875,70.813,69.063,70.563,100.0,98.625,72,70,1000,500,0.094,343.5,99.625,95.75,3.469,62.031,70.375,69.688,69.75,100.0,88.438,72,70,1000,500,0.078,311.75,82.0,80.5,3.311,60.813,75.063,69.438,67.875,100.0,100.0,72,70,1000,500,0.076,306.25,73.75,72.438,3.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,338.0,554.5,559.0,552.0,304.5,555.0,554.5,546.0,-0.1,0.225,-0.499,0,0.249,0.117,0.003,1.952,0.725,0.676,NORMAL
364,2162008,604,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,363.104,144.07,23.453,13.339,0,80,65,1.4,1269.063,1405.401,1256.633,125.389,69.893,68.981,67.87,68.822,68.176,0.217,0.746,-0.001,41.887,31.99,8.781,10.109,8.347,54.85,110.932,75.383,111.151,44.936,59.257,45.246,-10.82,9.102,8.547,71.125,70.188,70.313,70.75,0.0,47.875,72,70,1000,500,0.044,133.5,72.5,71.25,0.014,59.875,70.75,69.313,75.875,100.0,94.938,72,70,1000,500,0.148,428.5,108.063,105.438,3.447,62.031,70.375,69.813,74.688,100.0,88.188,72,70,1000,500,0.122,388.25,111.375,106.0,3.352,60.813,75.063,69.625,69.625,100.0,99.625,72,70,1000,500,0.119,382.25,81.563,80.063,3.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,344.25,557.5,562.0,553.5,308.0,558.5,558.5,552.5,-0.144,0.289,-0.743,0,0.363,0.144,0.003,1.311,2.607,0.768,NORMAL
365,2162008,605,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,524.744,171.01,23.443,13.398,0,80,65,1.4,1524.875,1670.883,1453.833,137.664,69.893,68.557,67.765,68.61,68.39,0.328,1.005,0.01,48.608,36.807,8.809,10.193,8.347,51.09,112.411,75.596,112.185,44.936,59.257,45.246,-10.82,9.039,8.484,71.125,70.25,70.063,70.563,0.0,48.125,72,70,1000,500,0.063,158.5,72.313,71.063,0.014,59.875,70.75,69.563,77.875,100.0,86.625,72,70,1000,500,0.212,510.25,109.563,106.625,3.438,62.125,70.375,69.813,78.375,100.0,84.438,72,70,1000,500,0.171,456.5,110.375,106.063,3.344,60.906,75.0,69.625,73.063,100.0,95.75,72,70,1000,500,0.169,455.0,110.313,105.563,3.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,345.0,558.0,562.5,554.0,308.0,558.5,559.5,554.5,0.144,0.29,0.766,0,0.525,0.171,0.003,1.463,2.087,2.404,NORMAL
366,2162008,606,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,696.925,206.149,23.412,13.398,0,80,65,1.4,1524.875,1868.205,1624.272,213.722,69.786,68.133,68.396,68.399,68.283,0.446,1.276,0.058,54.501,41.495,8.837,10.193,8.347,47.116,115.518,76.233,115.287,44.936,59.257,45.246,-10.82,9.164,8.492,70.938,70.188,69.938,70.375,0.0,46.75,72,70,1000,500,0.084,182.875,72.188,71.25,0.014,60.125,70.813,69.563,78.75,100.0,77.0,72,70,1000,500,0.265,567.0,111.438,107.688,3.432,62.25,70.438,69.688,79.875,100.0,78.563,72,70,1000,500,0.214,511.0,110.188,106.0,3.344,61.219,74.875,69.625,76.625,100.0,87.875,72,70,1000,500,0.226,522.5,109.75,105.438,3.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,345.25,558.0,562.0,553.5,307.5,559.0,559.5,554.5,0.138,0.29,0.782,0,0.697,0.206,0.002,1.863,2.027,2.172,NORMAL
367,2162008,607,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,869.107,241.288,23.443,13.427,0,80,65,1.4,1793.125,2014.083,1770.601,262.468,69.678,67.814,68.816,68.082,68.069,0.614,1.535,0.083,59.356,46.415,8.921,10.165,8.334,43.034,121.88,77.083,121.639,45.083,59.257,45.319,-10.82,9.211,8.578,71.125,70.25,69.813,70.375,0.0,44.656,72,70,1000,500,0.102,200.75,72.313,71.25,0.014,60.188,70.75,69.313,79.375,100.0,68.688,72,70,1000,500,0.292,592.5,114.5,110.063,3.428,62.563,70.375,69.688,80.375,100.0,72.313,72,70,1000,500,0.246,546.0,113.063,108.188,3.332,61.313,74.813,69.563,78.0,100.0,79.375,72,70,1000,500,0.267,566.5,109.75,105.625,3.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.0,557.5,560.5,553.0,307.0,558.0,559.0,554.5,0.126,0.224,0.815,0,0.869,0.241,0.002,2.199,2.35,2.067,NORMAL
368,2162008,608,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,983.895,271.742,23.402,13.412,0,80,65,1.4,1918.125,2070.944,1864.53,231.703,69.355,67.814,69.447,67.977,67.748,0.789,1.748,0.102,63.154,49.752,8.978,10.081,8.276,39.811,125.505,78.039,125.406,44.936,59.257,45.246,-10.82,9.289,8.641,70.938,70.313,69.75,70.25,0.0,42.563,72,70,1000,500,0.114,212.0,72.063,71.063,0.014,60.406,70.813,69.313,80.438,100.0,61.281,72,70,1000,500,0.302,602.5,120.0,115.125,3.422,62.844,70.438,69.688,81.063,100.0,66.938,72,70,1000,500,0.263,562.0,117.5,111.313,3.34,61.906,74.688,69.438,78.75,100.0,71.438,72,70,1000,500,0.29,589.5,112.313,107.813,3.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.008,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.0,557.0,560.0,552.0,306.5,557.0,558.0,554.0,0.049,0.29,0.334,0,0.984,0.272,0.002,2.408,2.985,2.247,NORMAL
369,2162008,609,1,1,0,1,100.0,0,25.0,25.0,25.0,1,1,1057.687,279.941,23.557,13.441,0,80,65,1.4,1971.5,2069.268,1876.384,266.555,69.463,68.026,69.868,67.977,67.748,0.991,1.917,0.135,65.59,51.795,8.978,9.969,8.263,37.341,126.985,78.676,126.884,44.863,59.048,45.319,-10.82,9.336,8.695,71.125,70.375,69.75,69.938,0.0,40.625,72,70,1000,500,0.122,217.5,72.313,71.25,0.014,60.781,70.813,69.313,81.625,100.0,55.594,72,70,1000,500,0.297,596.0,124.188,118.875,3.412,63.219,70.438,69.563,82.375,100.0,62.688,72,70,1000,500,0.265,562.5,123.0,116.375,3.338,63.875,74.563,69.438,79.438,100.0,65.313,72,70,1000,500,0.292,591.0,116.5,111.063,3.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.031,0.007,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,347.5,556.0,558.5,551.0,306.25,556.0,557.0,553.5,0.049,0.432,0.343,0,1.058,0.28,0.002,2.613,3.189,2.716,NORMAL
